year,soy_particip,soy_particip_lo,soy_particip_hi,soy_share,soy_share_lo,soy_share_hi,fiscal,fiscal_lo,fiscal_hi,soy_area,total_area,scenario,param_set
2029,0.5611515151515151,0.2356818181818182,0.8502272727272727,0.2656738846700876,0.11983774631818268,0.44268400498770505,3492998.157786961,1991593.0750785726,5180257.679000449,7623.836242747462,28696.22,S3_轮作补贴150元,main
2030,0.5696060606060606,0.2406818181818182,0.8595454545454547,0.2697440574304724,0.11724878873774944,0.46111580379346456,3516731.619990329,1872805.2658861743,5322151.232150762,7740.634815717473,28696.22,S3_轮作补贴150元,main
2025,0.3663333333333333,0.16340909090909092,0.6047727272727272,0.17698420425229602,0.09759235624025428,0.27226891556032184,2787636.8471183507,1746465.2325736985,4022059.5186050492,5078.777661748822,28696.22,S3_轮作补贴150元,wooldridge
2026,0.43666666666666665,0.16795454545454547,0.737727272727273,0.2131026475712042,0.09820811867749482,0.3502234767252175,3016311.9504487393,1729231.010147605,4497341.1808017,6115.240457285742,28696.22,S3_轮作补贴150元,wooldridge
2027,0.48601515151515146,0.195,0.8186363636363638,0.23497878295175043,0.10728495230789224,0.3856526787536893,3190678.857449832,1846228.8643993158,4711317.481271784,6743.002850915678,28696.22,S3_轮作补贴150元,wooldridge
2028,0.49901515151515147,0.18636363636363637,0.836590909090909,0.2423463198043355,0.1120014939491138,0.41952221464512934,3228134.9364407985,1867275.9134468096,4982480.41421488,6954.423309295568,28696.22,S3_轮作补贴150元,wooldridge
2029,0.5153939393939394,0.2,0.8411363636363637,0.25157670900147383,0.1170914081869638,0.4325231962549335,3314004.8210855382,1933664.486990043,5017062.453107346,7219.300588382274,28696.22,S3_轮作补贴150元,wooldridge
2030,0.5257878787878788,0.2084090909090909,0.8593181818181819,0.2569322512960401,0.11097232051557297,0.46372883488018113,3350971.0999037363,1824540.1274996933,5447397.133708238,7372.984408286451,28696.22,S3_轮作补贴150元,wooldridge
2025,0.37342424242424244,0.1409090909090909,0.6275000000000001,0.1637796566820423,0.07598804596812914,0.2672970351807958,2124877.229691878,1293512.3958756109,3105161.1938756336,4699.857059672356,28696.22,S4_豆价+10%,main
2026,0.45037878787878793,0.14977272727272728,0.7272727272727273,0.2006629377478035,0.08008278254274145,0.33321481200241176,2474152.776460901,1332288.5381993607,3729386.232318352,5758.267807457274,28696.22,S4_豆价+10%,main
