crop,province,year,variable,value_base,value_pdf,ref_source
rice_early_indica,安徽,2019,平均出售价格,128.0,112.91,pdf_patch:2020.pdf
rice_early_indica,安徽,2019,总成本,1316.15,924.37,pdf_patch:2020.pdf
rice_early_indica,安徽,2019,排灌费,8.02,1.13,pdf_patch:2020.pdf
rice_early_indica,安徽,2019,机械作业费,228.39,170.6,pdf_patch:2020.pdf
rice_early_indica,安徽,2019,每亩农膜用量,0.32,0.02,pdf_patch:2020.pdf
rice_early_indica,安徽,2019,每亩化肥折纯用量,24.43,24.03,pdf_patch:2020.pdf
rice_early_indica,安徽,2019,每亩化肥用量,24.43,24.03,pdf_patch:2020.pdf
rice_early_indica,安徽,2019,每亩用工数量,5.99,3.03,pdf_patch:2020.pdf
rice_early_indica,安徽,2019,物质与服务费用,575.18,449.91,pdf_patch:2020.pdf
rice_early_indica,安徽,2019,生产成本,1107.04,729.17,pdf_patch:2020.pdf
rice_early_indica,安徽,2019,种子费,60.48,46.38,pdf_patch:2020.pdf
rice_early_indica,安徽,2019,自营地折租,181.53,131.79,pdf_patch:2020.pdf
rice_early_indica,安徽,2019,雇工工价,152.06,141.97,pdf_patch:2020.pdf
rice_early_indica,江西,2019,人工成本,484.45,387.13,pdf_patch:2020.pdf
rice_early_indica,江西,2019,化肥费,148.49,138.23,pdf_patch:2020.pdf
rice_early_indica,江西,2019,家庭用工天数,5.41,4.14,pdf_patch:2020.pdf
rice_early_indica,江西,2019,家庭用工折价,467.66,357.61,pdf_patch:2020.pdf
rice_early_indica,江西,2019,平均出售价格,113.625,109.26,pdf_patch:2020.pdf
rice_early_indica,江西,2019,总成本,1125.12,1024.67,pdf_patch:2020.pdf
rice_early_indica,江西,2019,机械作业费,213.11,180.65,pdf_patch:2020.pdf
rice_early_indica,江西,2019,每亩用工数量,5.53,4.39,pdf_patch:2020.pdf
rice_early_indica,江西,2019,燃料动力费,6.95,2.92,pdf_patch:2020.pdf
rice_early_indica,江西,2019,物质与服务费用,521.16,487.36,pdf_patch:2020.pdf
rice_early_indica,江西,2019,生产成本,1005.61,874.49,pdf_patch:2020.pdf
rice_early_indica,江西,2019,畜力费,5.4,1.66,pdf_patch:2020.pdf
rice_early_indica,江西,2019,种子费,88.63,61.81,pdf_patch:2020.pdf
rice_early_indica,江西,2019,雇工工价,139.88,118.06,pdf_patch:2020.pdf
rice_early_indica,浙江,2019,人工成本,342.66,294.53,pdf_patch:2020.pdf
rice_early_indica,浙江,2019,农膜费,2.23,0.76,pdf_patch:2020.pdf
rice_early_indica,浙江,2019,固定资产折旧,13.26,3.26,pdf_patch:2020.pdf
rice_early_indica,浙江,2019,家庭用工天数,3.28,2.43,pdf_patch:2020.pdf
rice_early_indica,浙江,2019,家庭用工折价,283.33,209.82,pdf_patch:2020.pdf
rice_early_indica,浙江,2019,工具材料费,5.21,5.06,pdf_patch:2020.pdf
rice_early_indica,浙江,2019,平均出售价格,116.59,124.11,pdf_patch:2020.pdf
rice_early_indica,浙江,2019,每亩农膜用量,0.15,0.06,pdf_patch:2020.pdf
rice_early_indica,浙江,2019,每亩用工数量,3.64,2.93,pdf_patch:2020.pdf
rice_early_indica,浙江,2019,燃料动力费,9.89,2.8,pdf_patch:2020.pdf
rice_early_indica,浙江,2019,种子费,46.72,35.29,pdf_patch:2020.pdf
rice_early_indica,浙江,2019,自营地折租,151.57,116.65,pdf_patch:2020.pdf
rice_early_indica,福建,2019,农药费,70.67,52.7,pdf_patch:2020.pdf
rice_early_indica,福建,2019,化肥费,165.79,119.69,pdf_patch:2020.pdf
rice_early_indica,福建,2019,固定资产折旧,14.95,8.32,pdf_patch:2020.pdf
rice_early_indica,福建,2019,每亩化肥折纯用量,25.49,17.5,pdf_patch:2020.pdf
rice_early_indica,福建,2019,每亩化肥用量,25.49,17.5,pdf_patch:2020.pdf
rice_early_indica,福建,2019,每亩种子用量,2.03,1.06,pdf_patch:2020.pdf
rice_early_indica,福建,2019,燃料动力费,7.33,4.42,pdf_patch:2020.pdf
rice_early_indica,福建,2019,物质与服务费用,590.3,531.08,pdf_patch:2020.pdf
rice_early_indica,福建,2019,种子费,77.82,72.4,pdf_patch:2020.pdf
rice_early_indica,福建,2019,自营地折租,182.76,154.48,pdf_patch:2020.pdf
rice_early_indica,福建,2019,销售费,4.68,1.64,pdf_patch:2020.pdf
rice_early_indica,安徽,2020,主产品产值,1204.1,780.23,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,主产品产量,424.67,350.57,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,产值合计,1214.74,787.6,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,人工成本,536.81,262.6,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,保险费,32.04,24.86,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,农膜费,4.73,0.32,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,化肥费,174.19,131.89,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,土地成本,211.53,191.55,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,家庭用工天数,5.66,2.81,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,家庭用工折价,508.28,252.43,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,工具材料费,12.59,3.17,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,平均出售价格,126.525,111.28,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,总成本,1344.71,975.23,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,排灌费,7.44,0.47,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,机械作业费,223.51,183.98,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,每亩农膜用量,0.31,0.03,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,每亩化肥折纯用量,24.95,24.42,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,每亩化肥用量,24.95,24.42,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,每亩用工数量,5.85,2.89,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,物质与服务费用,596.37,521.08,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,生产成本,1133.18,783.68,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,种子费,60.15,47.72,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,自营地折租,180.6,126.6,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,雇工天数,0.19,0.08,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,雇工工价,150.17,127.11,pdf_patch:2021.pdf
rice_early_indica,安徽,2020,雇工费用,28.53,10.17,pdf_patch:2021.pdf
rice_early_indica,江西,2020,主产品产值,1035.2,846.51,pdf_patch:2021.pdf
rice_early_indica,江西,2020,主产品产量,391.47,371.4,pdf_patch:2021.pdf
rice_early_indica,江西,2020,产值合计,1041.99,864.22,pdf_patch:2021.pdf
rice_early_indica,江西,2020,人工成本,445.95,368.85,pdf_patch:2021.pdf
rice_early_indica,江西,2020,化肥费,155.21,136.61,pdf_patch:2021.pdf
rice_early_indica,江西,2020,家庭用工天数,4.88,3.94,pdf_patch:2021.pdf
rice_early_indica,江西,2020,家庭用工折价,438.26,353.51,pdf_patch:2021.pdf
rice_early_indica,江西,2020,工具材料费,6.38,6.14,pdf_patch:2021.pdf
rice_early_indica,江西,2020,平均出售价格,123.09,113.96,pdf_patch:2021.pdf
rice_early_indica,江西,2020,总成本,1123.61,1035.19,pdf_patch:2021.pdf
rice_early_indica,江西,2020,机械作业费,229.53,197.09,pdf_patch:2021.pdf
rice_early_indica,江西,2020,每亩用工数量,4.93,4.07,pdf_patch:2021.pdf
rice_early_indica,江西,2020,燃料动力费,9.92,3.81,pdf_patch:2021.pdf
rice_early_indica,江西,2020,物质与服务费用,555.33,512.83,pdf_patch:2021.pdf
rice_early_indica,江西,2020,生产成本,1001.28,881.68,pdf_patch:2021.pdf
rice_early_indica,江西,2020,畜力费,2.58,1.9,pdf_patch:2021.pdf
rice_early_indica,江西,2020,种子费,92.61,64.62,pdf_patch:2021.pdf
rice_early_indica,江西,2020,雇工工价,153.92,117.98,pdf_patch:2021.pdf
rice_early_indica,浙江,2020,人工成本,347.0,323.95,pdf_patch:2021.pdf
rice_early_indica,浙江,2020,农膜费,2.85,0.8,pdf_patch:2021.pdf
rice_early_indica,浙江,2020,固定资产折旧,12.66,5.18,pdf_patch:2021.pdf
rice_early_indica,浙江,2020,家庭用工天数,3.15,2.44,pdf_patch:2021.pdf
rice_early_indica,浙江,2020,家庭用工折价,283.13,219.31,pdf_patch:2021.pdf
rice_early_indica,浙江,2020,工具材料费,5.02,4.62,pdf_patch:2021.pdf
rice_early_indica,浙江,2020,平均出售价格,120.16,125.9,pdf_patch:2021.pdf
rice_early_indica,浙江,2020,每亩农膜用量,0.19,0.06,pdf_patch:2021.pdf
rice_early_indica,浙江,2020,每亩用工数量,3.53,3.06,pdf_patch:2021.pdf
rice_early_indica,浙江,2020,燃料动力费,9.28,5.25,pdf_patch:2021.pdf
rice_early_indica,浙江,2020,畜力费,2.13,2.06,pdf_patch:2021.pdf
rice_early_indica,浙江,2020,种子费,50.62,36.26,pdf_patch:2021.pdf
rice_early_indica,浙江,2020,自营地折租,151.31,113.44,pdf_patch:2021.pdf
rice_early_indica,福建,2020,农药费,72.85,65.83,pdf_patch:2021.pdf
rice_early_indica,福建,2020,化肥费,161.78,115.47,pdf_patch:2021.pdf
rice_early_indica,福建,2020,固定资产折旧,16.56,8.55,pdf_patch:2021.pdf
rice_early_indica,福建,2020,平均出售价格,140.485,141.64,pdf_patch:2021.pdf
rice_early_indica,福建,2020,每亩农膜用量,0.47,0.45,pdf_patch:2021.pdf
rice_early_indica,福建,2020,每亩化肥折纯用量,23.87,18.02,pdf_patch:2021.pdf
rice_early_indica,福建,2020,每亩化肥用量,23.87,18.02,pdf_patch:2021.pdf
rice_early_indica,福建,2020,每亩种子用量,1.98,1.07,pdf_patch:2021.pdf
rice_early_indica,福建,2020,种子费,85.36,80.34,pdf_patch:2021.pdf
rice_early_indica,福建,2020,自营地折租,187.72,152.29,pdf_patch:2021.pdf
rice_early_indica,福建,2020,销售费,5.24,0.68,pdf_patch:2021.pdf
rice_early_indica,安徽,2022,人工成本,529.31,241.64,pdf_patch:2023.pdf
rice_early_indica,安徽,2022,农膜费,4.73,0.17,pdf_patch:2023.pdf
rice_early_indica,安徽,2022,农药费,67.01,47.8,pdf_patch:2023.pdf
rice_early_indica,安徽,2022,化肥费,210.61,173.83,pdf_patch:2023.pdf
rice_early_indica,安徽,2022,固定资产折旧,10.07,6.14,pdf_patch:2023.pdf
rice_early_indica,安徽,2022,家庭用工天数,5.28,1.99,pdf_patch:2023.pdf
rice_early_indica,安徽,2022,家庭用工折价,503.47,189.74,pdf_patch:2023.pdf
rice_early_indica,安徽,2022,工具材料费,8.93,2.24,pdf_patch:2023.pdf
rice_early_indica,安徽,2022,排灌费,8.14,2.98,pdf_patch:2023.pdf
rice_early_indica,安徽,2022,机械作业费,252.23,185.8,pdf_patch:2023.pdf
rice_early_indica,安徽,2022,每亩农膜用量,0.32,0.01,pdf_patch:2023.pdf
rice_early_indica,安徽,2022,物质与服务费用,686.49,562.66,pdf_patch:2023.pdf
rice_early_indica,安徽,2022,种子费,70.87,55.67,pdf_patch:2023.pdf
rice_early_indica,江西,2022,人工成本,509.88,362.85,pdf_patch:2023.pdf
rice_early_indica,江西,2022,化肥费,196.4,188.94,pdf_patch:2023.pdf
rice_early_indica,江西,2022,家庭用工天数,5.26,3.4,pdf_patch:2023.pdf
rice_early_indica,江西,2022,家庭用工折价,501.66,323.64,pdf_patch:2023.pdf
rice_early_indica,江西,2022,机械作业费,235.66,214.48,pdf_patch:2023.pdf
rice_early_indica,江西,2022,燃料动力费,10.51,3.09,pdf_patch:2023.pdf
rice_early_indica,江西,2022,物质与服务费用,620.74,605.92,pdf_patch:2023.pdf
rice_early_indica,江西,2022,畜力费,4.07,0.12,pdf_patch:2023.pdf
rice_early_indica,江西,2022,种子费,95.77,70.36,pdf_patch:2023.pdf
rice_early_indica,江西,2022,管理费,0.56,0.25,pdf_patch:2023.pdf
rice_early_indica,江西,2022,雇工工价,164.46,130.7,pdf_patch:2023.pdf
rice_early_indica,浙江,2022,人工成本,353.37,285.41,pdf_patch:2023.pdf
rice_early_indica,浙江,2022,农膜费,3.16,0.61,pdf_patch:2023.pdf
rice_early_indica,浙江,2022,家庭用工天数,2.81,1.9,pdf_patch:2023.pdf
rice_early_indica,浙江,2022,家庭用工折价,267.32,180.97,pdf_patch:2023.pdf
rice_early_indica,浙江,2022,每亩农膜用量,0.21,0.04,pdf_patch:2023.pdf
rice_early_indica,浙江,2022,种子费,76.92,44.09,pdf_patch:2023.pdf
rice_early_indica,福建,2022,农家肥费,12.09,3.35,pdf_patch:2023.pdf
rice_early_indica,福建,2022,农药费,79.64,73.07,pdf_patch:2023.pdf
rice_early_indica,福建,2022,化肥费,206.96,168.11,pdf_patch:2023.pdf
rice_early_indica,福建,2022,固定资产折旧,17.06,10.54,pdf_patch:2023.pdf
rice_early_indica,福建,2022,工具材料费,12.76,10.57,pdf_patch:2023.pdf
rice_early_indica,福建,2022,每亩化肥用量,22.67,18.88,pdf_patch:2023.pdf
rice_early_indica,福建,2022,每亩种子用量,1.86,1.05,pdf_patch:2023.pdf
rice_early_indica,福建,2022,燃料动力费,16.19,4.51,pdf_patch:2023.pdf
rice_early_indica,福建,2022,物质与服务费用,700.29,689.36,pdf_patch:2023.pdf
rice_early_indica,福建,2022,种子费,95.31,87.13,pdf_patch:2023.pdf
rice_early_indica,福建,2022,销售费,1.77,0.48,pdf_patch:2023.pdf
rice_japonica,内蒙古,2005,农药费,86.35,12.45,md_patch:2006.md
rice_japonica,内蒙古,2005,固定资产折旧,6.83,4.06,md_patch:2006.md
rice_japonica,内蒙古,2005,技术服务费,0.15,0.04,md_patch:2006.md
rice_japonica,内蒙古,2005,机械作业费,95.75,66.83,md_patch:2006.md
rice_japonica,内蒙古,2005,每亩化肥用量,22.67,21.08,md_patch:2006.md
rice_japonica,内蒙古,2005,物质与服务费用,324.87,290.71,md_patch:2006.md
rice_japonica,内蒙古,2005,雇工工价,38.94,33.42,md_patch:2006.md
rice_japonica,天津,2005,其他直接费用,9.89,0.83,md_patch:2006.md
rice_japonica,天津,2005,固定资产折旧,8.57,8.12,md_patch:2006.md
rice_japonica,天津,2005,机械作业费,63.91,55.62,md_patch:2006.md
rice_japonica,天津,2005,每亩种子用量,4.62,4.38,md_patch:2006.md
rice_japonica,天津,2005,物质与服务费用,281.88,262.54,md_patch:2006.md
rice_japonica,天津,2005,雇工天数,1.93,1.58,md_patch:2006.md
rice_japonica,天津,2005,雇工工价,33.81,29.95,md_patch:2006.md
rice_japonica,天津,2005,雇工费用,65.25,47.32,md_patch:2006.md
rice_japonica,山西,2005,修理维护费,1.54,0.06,md_patch:2006.md
rice_japonica,山西,2005,农家肥费,6.19,5.76,md_patch:2006.md
rice_japonica,山西,2005,农药费,85.2,20.41,md_patch:2006.md
rice_japonica,山西,2005,化肥费,131.24,76.7,md_patch:2006.md
rice_japonica,山西,2005,固定资产折旧,5.22,1.86,md_patch:2006.md
rice_japonica,山西,2005,工具材料费,2.94,0.33,md_patch:2006.md
rice_japonica,山西,2005,排灌费,38.27,32.88,md_patch:2006.md
rice_japonica,山西,2005,机械作业费,83.17,58.75,md_patch:2006.md
rice_japonica,山西,2005,每亩化肥用量,31.69,22.08,md_patch:2006.md
rice_japonica,山西,2005,物质与服务费用,379.3,248.61,md_patch:2006.md
rice_japonica,山西,2005,雇工工价,33.62,32.08,md_patch:2006.md
rice_japonica,河北,2005,其他直接费用,1.45,0.7,md_patch:2006.md
rice_japonica,河北,2005,农药费,79.01,35.39,md_patch:2006.md
rice_japonica,河北,2005,机械作业费,103.52,44.06,md_patch:2006.md
rice_japonica,河北,2005,每亩种子用量,5.87,4.95,md_patch:2006.md
rice_japonica,河北,2005,种子费,18.03,16.7,md_patch:2006.md
rice_japonica,河北,2005,雇工工价,31.84,31.04,md_patch:2006.md
rice_japonica,辽宁,2005,修理维护费,5.19,1.82,md_patch:2006.md
rice_japonica,辽宁,2005,农药费,43.21,18.32,md_patch:2006.md
rice_japonica,辽宁,2005,家庭用工天数,10.8,7.84,md_patch:2006.md
rice_japonica,辽宁,2005,家庭用工折价,165.24,119.95,md_patch:2006.md
rice_japonica,辽宁,2005,工具材料费,8.15,4.6,md_patch:2006.md
rice_japonica,辽宁,2005,每亩种子用量,5.28,4.01,md_patch:2006.md
rice_japonica,辽宁,2005,燃料动力费,0.17,0.12,md_patch:2006.md
rice_japonica,辽宁,2005,畜力费,23.2,12.44,md_patch:2006.md
rice_japonica,辽宁,2005,种子费,19.83,14.09,md_patch:2006.md
rice_japonica,内蒙古,2020,主产品产值,1640.84,1525.86,pdf_patch:2021.pdf
rice_japonica,内蒙古,2020,主产品产量,590.95,527.39,pdf_patch:2021.pdf
rice_japonica,内蒙古,2020,产值合计,1690.42,1550.03,pdf_patch:2021.pdf
rice_japonica,内蒙古,2020,人工成本,474.5,319.12,pdf_patch:2021.pdf
rice_japonica,内蒙古,2020,家庭用工折价,395.35,256.38,pdf_patch:2021.pdf
rice_japonica,内蒙古,2020,平均出售价格,141.745,144.66,pdf_patch:2021.pdf
rice_japonica,内蒙古,2020,每亩化肥折纯用量,36.05,21.96,pdf_patch:2021.pdf
rice_japonica,内蒙古,2020,每亩用工数量,4.91,3.31,pdf_patch:2021.pdf
rice_japonica,内蒙古,2020,生产成本,1061.78,1050.59,pdf_patch:2021.pdf
rice_japonica,内蒙古,2020,雇工费用,79.15,62.73,pdf_patch:2021.pdf
rice_japonica,吉林,2020,主产品产值,1895.36,1618.79,pdf_patch:2021.pdf
rice_japonica,吉林,2020,主产品产量,604.05,553.5,pdf_patch:2021.pdf
rice_japonica,吉林,2020,产值合计,1978.18,1638.04,pdf_patch:2021.pdf
rice_japonica,吉林,2020,人工成本,1136.6,522.41,pdf_patch:2021.pdf
rice_japonica,吉林,2020,家庭用工折价,1006.5,405.04,pdf_patch:2021.pdf
rice_japonica,吉林,2020,平均出售价格,151.56,146.23,pdf_patch:2021.pdf
rice_japonica,吉林,2020,总成本,1929.8,1477.31,pdf_patch:2021.pdf
rice_japonica,吉林,2020,每亩化肥折纯用量,28.17,21.98,pdf_patch:2021.pdf
rice_japonica,吉林,2020,每亩用工数量,12.52,5.45,pdf_patch:2021.pdf
rice_japonica,吉林,2020,物质与服务费用,570.49,519.33,pdf_patch:2021.pdf
rice_japonica,吉林,2020,生产成本,1707.09,1041.74,pdf_patch:2021.pdf
rice_japonica,吉林,2020,雇工费用,130.1,117.37,pdf_patch:2021.pdf
rice_japonica,江苏,2020,主产品产值,1914.59,1679.0,pdf_patch:2021.pdf
rice_japonica,江苏,2020,主产品产量,641.96,605.78,pdf_patch:2021.pdf
rice_japonica,江苏,2020,产值合计,2006.97,1705.41,pdf_patch:2021.pdf
rice_japonica,江苏,2020,土地成本,424.12,286.2,pdf_patch:2021.pdf
rice_japonica,江苏,2020,平均出售价格,143.85000000000002,138.58,pdf_patch:2021.pdf
rice_japonica,江苏,2020,总成本,1462.5,1320.88,pdf_patch:2021.pdf
rice_japonica,江苏,2020,物质与服务费用,692.78,659.58,pdf_patch:2021.pdf
rice_japonica,江苏,2020,自营地折租,364.09,179.76,pdf_patch:2021.pdf
rice_japonica,江苏,2020,雇工费用,162.2,35.95,pdf_patch:2021.pdf
rice_japonica,河北,2020,平均出售价格,136.0,137.76,pdf_patch:2021.pdf
rice_japonica,辽宁,2020,人工成本,528.64,464.39,pdf_patch:2021.pdf
rice_japonica,辽宁,2020,家庭用工折价,444.45,391.22,pdf_patch:2021.pdf
rice_japonica,辽宁,2020,每亩化肥折纯用量,33.27,29.48,pdf_patch:2021.pdf
rice_japonica,辽宁,2020,每亩用工数量,5.77,4.99,pdf_patch:2021.pdf
rice_japonica,辽宁,2020,雇工费用,84.19,73.17,pdf_patch:2021.pdf
rice_japonica,黑龙江,2020,主产品产值,1729.4,1427.23,pdf_patch:2021.pdf
rice_japonica,黑龙江,2020,主产品产量,608.88,504.11,pdf_patch:2021.pdf
rice_japonica,黑龙江,2020,产值合计,1769.21,1432.85,pdf_patch:2021.pdf
rice_japonica,黑龙江,2020,人工成本,503.94,459.19,pdf_patch:2021.pdf
rice_japonica,黑龙江,2020,家庭用工折价,453.61,248.84,pdf_patch:2021.pdf
rice_japonica,黑龙江,2020,每亩化肥折纯用量,33.61,20.49,pdf_patch:2021.pdf
rice_japonica,黑龙江,2020,每亩用工数量,5.56,4.0,pdf_patch:2021.pdf
rice_japonica,黑龙江,2020,物质与服务费用,619.34,519.31,pdf_patch:2021.pdf
rice_japonica,黑龙江,2020,生产成本,1123.28,978.5,pdf_patch:2021.pdf
rice_late_indica,安徽,2005,主产品产值,659.35,628.2,md_patch:2006.md
rice_late_indica,安徽,2005,产值合计,678.06,637.74,md_patch:2006.md
rice_late_indica,安徽,2005,人工成本,153.51,147.16,md_patch:2006.md
rice_late_indica,安徽,2005,农家肥费,4.96,4.72,md_patch:2006.md
rice_late_indica,安徽,2005,农膜费,1.19,0.83,md_patch:2006.md
rice_late_indica,安徽,2005,化肥费,98.11,76.53,md_patch:2006.md
rice_late_indica,安徽,2005,土地成本,94.81,41.49,md_patch:2006.md
rice_late_indica,安徽,2005,家庭用工天数,9.47,8.64,md_patch:2006.md
rice_late_indica,安徽,2005,家庭用工折价,144.89,132.19,md_patch:2006.md
rice_late_indica,安徽,2005,平均出售价格,79.285,73.8,md_patch:2006.md
rice_late_indica,安徽,2005,总成本,481.34,421.76,md_patch:2006.md
rice_late_indica,安徽,2005,每亩农膜用量,0.13,0.07,md_patch:2006.md
rice_late_indica,安徽,2005,每亩化肥折纯用量,21.79,19.95,md_patch:2006.md
rice_late_indica,安徽,2005,每亩化肥用量,21.79,19.95,md_patch:2006.md
rice_late_indica,安徽,2005,每亩用工数量,9.77,9.1,md_patch:2006.md
rice_late_indica,安徽,2005,每亩种子用量,1.78,1.13,md_patch:2006.md
rice_late_indica,安徽,2005,流转地租金,17.08,2.7,md_patch:2006.md
rice_late_indica,安徽,2005,生产成本,386.53,380.27,md_patch:2006.md
rice_late_indica,安徽,2005,畜力费,12.9,7.37,md_patch:2006.md
rice_late_indica,安徽,2005,种子费,21.19,18.93,md_patch:2006.md
rice_late_indica,安徽,2005,自营地折租,77.73,38.79,md_patch:2006.md
rice_late_indica,江西,2005,农家肥费,6.53,6.09,md_patch:2006.md
rice_late_indica,江西,2005,工具材料费,3.55,2.45,md_patch:2006.md
rice_late_indica,江西,2005,平均出售价格,74.28999999999999,72.75,md_patch:2006.md
rice_late_indica,江西,2005,每亩种子用量,1.75,1.54,md_patch:2006.md
rice_late_indica,江西,2005,燃料动力费,1.43,0.69,md_patch:2006.md
rice_late_indica,江西,2005,畜力费,19.11,15.01,md_patch:2006.md
rice_late_indica,江西,2005,种子费,25.47,15.75,md_patch:2006.md
rice_late_indica,浙江,2005,人工成本,159.83,120.33,md_patch:2006.md
rice_late_indica,浙江,2005,其他直接费用,0.79,0.66,md_patch:2006.md
rice_late_indica,浙江,2005,农家肥费,5.22,2.92,md_patch:2006.md
rice_late_indica,浙江,2005,固定资产折旧,9.44,5.49,md_patch:2006.md
rice_late_indica,浙江,2005,家庭用工天数,9.53,5.82,md_patch:2006.md
rice_late_indica,浙江,2005,家庭用工折价,145.81,89.05,md_patch:2006.md
rice_late_indica,浙江,2005,工具材料费,2.88,2.21,md_patch:2006.md
rice_late_indica,浙江,2005,平均出售价格,74.375,77.74,md_patch:2006.md
rice_late_indica,浙江,2005,排灌费,14.43,11.47,md_patch:2006.md
rice_late_indica,浙江,2005,每亩用工数量,9.97,6.72,md_patch:2006.md
rice_late_indica,浙江,2005,每亩种子用量,1.52,0.77,md_patch:2006.md
rice_late_indica,浙江,2005,燃料动力费,1.96,1.29,md_patch:2006.md
rice_late_indica,浙江,2005,生产成本,393.5,380.14,md_patch:2006.md
rice_late_indica,浙江,2005,畜力费,16.16,13.03,md_patch:2006.md
rice_late_indica,浙江,2005,种子费,17.7,13.58,md_patch:2006.md
rice_late_indica,浙江,2005,销售费,1.45,0.31,md_patch:2006.md
rice_late_indica,福建,2005,其他直接费用,2.87,1.2,md_patch:2006.md
rice_late_indica,福建,2005,农家肥费,12.02,4.44,md_patch:2006.md
rice_late_indica,福建,2005,化肥费,95.38,89.4,md_patch:2006.md
rice_late_indica,福建,2005,固定资产折旧,10.3,8.81,md_patch:2006.md
rice_late_indica,福建,2005,土地成本,110.33,53.36,md_patch:2006.md
rice_late_indica,福建,2005,工具材料费,4.62,3.77,md_patch:2006.md
rice_late_indica,福建,2005,平均出售价格,80.05,75.03,md_patch:2006.md
rice_late_indica,福建,2005,总成本,580.01,491.77,md_patch:2006.md
rice_late_indica,福建,2005,技术服务费,0.16,0.01,md_patch:2006.md
rice_late_indica,福建,2005,排灌费,12.96,6.67,md_patch:2006.md
rice_late_indica,福建,2005,机械作业费,42.31,21.58,md_patch:2006.md
rice_late_indica,福建,2005,每亩化肥折纯用量,22.98,22.42,md_patch:2006.md
rice_late_indica,福建,2005,每亩化肥用量,22.98,22.42,md_patch:2006.md
rice_late_indica,福建,2005,每亩种子用量,1.94,1.44,md_patch:2006.md
rice_late_indica,福建,2005,流转地租金,11.13,9.34,md_patch:2006.md
rice_late_indica,福建,2005,燃料动力费,0.71,0.56,md_patch:2006.md
rice_late_indica,福建,2005,物质与服务费用,267.06,216.93,md_patch:2006.md
rice_late_indica,福建,2005,生产成本,469.68,438.41,md_patch:2006.md
rice_late_indica,福建,2005,种子费,27.09,17.48,md_patch:2006.md
rice_late_indica,福建,2005,管理费,0.54,0.13,md_patch:2006.md
rice_late_indica,福建,2005,自营地折租,99.2,44.02,md_patch:2006.md
rice_late_indica,福建,2005,雇工天数,0.82,0.42,md_patch:2006.md
rice_late_indica,福建,2005,雇工费用,16.27,10.8,md_patch:2006.md
rice_late_indica,安徽,2019,主产品产值,1378.58,1296.25,pdf_patch:2020.pdf
rice_late_indica,安徽,2019,产值合计,1387.89,1313.51,pdf_patch:2020.pdf
rice_late_indica,安徽,2019,人工成本,544.92,352.55,pdf_patch:2020.pdf
rice_late_indica,安徽,2019,修理维护费,1.6,1.45,pdf_patch:2020.pdf
rice_late_indica,安徽,2019,农药费,64.65,61.55,pdf_patch:2020.pdf
rice_late_indica,安徽,2019,化肥费,171.04,150.36,pdf_patch:2020.pdf
rice_late_indica,安徽,2019,固定资产折旧,5.7,5.64,pdf_patch:2020.pdf
rice_late_indica,安徽,2019,家庭用工天数,5.96,3.07,pdf_patch:2020.pdf
rice_late_indica,安徽,2019,家庭用工折价,514.74,265.1,pdf_patch:2020.pdf
rice_late_indica,安徽,2019,工具材料费,10.69,3.16,pdf_patch:2020.pdf
rice_late_indica,安徽,2019,平均出售价格,139.32,115.69,pdf_patch:2020.pdf
rice_late_indica,安徽,2019,总成本,1339.04,1151.2,pdf_patch:2020.pdf
rice_late_indica,安徽,2019,机械作业费,228.33,205.62,pdf_patch:2020.pdf
rice_late_indica,安徽,2019,每亩用工数量,6.17,3.63,pdf_patch:2020.pdf
rice_late_indica,安徽,2019,生产成本,1131.63,937.53,pdf_patch:2020.pdf
rice_late_indica,安徽,2019,自营地折租,176.35,142.52,pdf_patch:2020.pdf
rice_late_indica,江西,2019,人工成本,472.22,430.09,pdf_patch:2020.pdf
rice_late_indica,江西,2019,保险费,0.41,0.32,pdf_patch:2020.pdf
rice_late_indica,江西,2019,化肥费,150.21,143.56,pdf_patch:2020.pdf
rice_late_indica,江西,2019,家庭用工天数,5.37,4.35,pdf_patch:2020.pdf
rice_late_indica,江西,2019,家庭用工折价,464.12,375.41,pdf_patch:2020.pdf
