进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,贸易伙伴名称,贸易方式,货币,地址,第二数量,第二计量单位
进口,2023-11,10039000,其他大麦,1336294.0,7194500.0,千克,哈萨克斯坦,一般贸易,usd,陕西省,0.0,—
进口,2023-11,10039000,其他大麦,456155.0,2337000.0,千克,哈萨克斯坦,一般贸易,usd,甘肃省,0.0,—
进口,2023-11,10039000,其他大麦,3838921.0,15736200.0,千克,哈萨克斯坦,一般贸易,usd,新疆维吾尔自治区,0.0,—
进口,2023-11,10039000,其他大麦,2853516.0,13864400.0,千克,哈萨克斯坦,进料加工贸易,usd,新疆维吾尔自治区,0.0,—
进口,2023-11,10039000,其他大麦,214025.0,1032000.0,千克,哈萨克斯坦,海关特殊监管区域物流货物,usd,甘肃省,0.0,—
进口,2023-11,10039000,其他大麦,1578859.0,7883250.0,千克,哈萨克斯坦,海关特殊监管区域物流货物,usd,宁夏回族自治区,0.0,—
进口,2023-11,10039000,其他大麦,1353101.0,6404500.0,千克,哈萨克斯坦,海关特殊监管区域物流货物,usd,新疆维吾尔自治区,0.0,—
进口,2023-11,10039000,其他大麦,4231112.0,15090000.0,千克,法国,一般贸易,usd,北京市,0.0,—
进口,2023-11,10039000,其他大麦,995022.0,2984100.0,千克,法国,一般贸易,usd,河北省,0.0,—
进口,2023-11,10039000,其他大麦,1685637.0,4331530.0,千克,法国,一般贸易,usd,江苏省,0.0,—
进口,2023-11,10039000,其他大麦,26694495.0,86000000.0,千克,法国,一般贸易,usd,福建省,0.0,—
进口,2023-11,10039000,其他大麦,6583407.0,24820000.0,千克,法国,一般贸易,usd,广东省,0.0,—
进口,2023-11,10039000,其他大麦,235642.0,946000.0,千克,俄罗斯,一般贸易,usd,北京市,0.0,—
进口,2023-11,10039000,其他大麦,410127.0,1963080.0,千克,俄罗斯,一般贸易,usd,天津市,0.0,—
进口,2023-11,10039000,其他大麦,196747.0,832000.0,千克,俄罗斯,一般贸易,usd,河北省,0.0,—
进口,2023-11,10039000,其他大麦,4419765.0,20172700.0,千克,俄罗斯,一般贸易,usd,内蒙古自治区,0.0,—
进口,2023-11,10039000,其他大麦,2340.0,21000.0,千克,俄罗斯,一般贸易,usd,黑龙江省,0.0,—
进口,2023-11,10039000,其他大麦,674950.0,2422840.0,千克,俄罗斯,一般贸易,usd,江苏省,0.0,—
进口,2023-11,10039000,其他大麦,2244505.0,9754070.0,千克,俄罗斯,一般贸易,usd,福建省,0.0,—
进口,2023-11,10039000,其他大麦,3859008.0,17087500.0,千克,俄罗斯,一般贸易,usd,山东省,0.0,—
进口,2023-11,10039000,其他大麦,419747.0,1602600.0,千克,俄罗斯,一般贸易,usd,湖北省,0.0,—
进口,2023-11,10039000,其他大麦,407161.0,1605800.0,千克,俄罗斯,一般贸易,usd,湖南省,0.0,—
进口,2023-11,10039000,其他大麦,476829.0,1901460.0,千克,俄罗斯,一般贸易,usd,广东省,0.0,—
进口,2023-11,10039000,其他大麦,824580.0,3594920.0,千克,俄罗斯,边境小额贸易,usd,内蒙古自治区,0.0,—
进口,2023-11,10039000,其他大麦,178302.0,800000.0,千克,俄罗斯,边境小额贸易,usd,黑龙江省,0.0,—
进口,2023-11,10039000,其他大麦,4196318.0,15360300.0,千克,乌克兰,一般贸易,usd,福建省,0.0,—
进口,2023-11,10039000,其他大麦,455026.0,1565010.0,千克,乌克兰,一般贸易,usd,广东省,0.0,—
进口,2023-11,10039000,其他大麦,2858386.0,9850000.0,千克,阿根廷,一般贸易,usd,江苏省,0.0,—
进口,2023-11,10039000,其他大麦,21379247.0,67096000.0,千克,阿根廷,一般贸易,usd,福建省,0.0,—
进口,2023-11,10039000,其他大麦,10692105.0,31620000.0,千克,阿根廷,一般贸易,usd,山东省,0.0,—
进口,2023-11,10039000,其他大麦,28543922.0,98721000.0,千克,阿根廷,一般贸易,usd,广东省,0.0,—
进口,2023-11,10039000,其他大麦,5304228.0,16828700.0,千克,加拿大,一般贸易,usd,辽宁省,0.0,—
进口,2023-11,10039000,其他大麦,9067240.0,25000000.0,千克,加拿大,一般贸易,usd,浙江省,0.0,—
进口,2023-11,10039000,其他大麦,28393860.0,83770600.0,千克,加拿大,一般贸易,usd,山东省,0.0,—
进口,2023-11,10039000,其他大麦,43200656.0,126576000.0,千克,加拿大,一般贸易,usd,广东省,0.0,—
