进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,公司,贸易方式,运输方式,贸易伙伴名称,商品1996编码,货币
进口,2015.0,10079000,其他食用高梁,34974004.0,126486129.0,千克,中粮饲料有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,25907101.0,92800073.0,千克,中国华粮物流集团北良有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,1729900.0,6000000.0,千克,淮安市华洋国际贸易有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,50108682.0,168707689.0,千克,山东雅禾农业有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,188114756.0,687593861.0,千克,广东俊杰农产品有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,133343129.0,502466861.0,千克,肇庆市福加德面粉有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,120900197.0,435115400.0,千克,,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,284914.0,1095828.0,千克,重庆对外贸易进口有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,4490345.0,14804601.0,千克,中轻日用百货进出口公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,123444.0,513871.0,千克,路易达孚(北京)贸易有限责任公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,107564.0,208862.0,千克,北京华辰兴业科技有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,9740086.0,32507466.0,千克,天津利达粮油有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,139631.0,519075.0,千克,,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,6168905.0,20752163.0,千克,上海邦尼国际贸易有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,5937890.0,18794061.0,千克,朗信(张家港保税区)贸易有限公,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,59358118.0,203317412.0,千克,安徽安粮国际发展有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,35365963.0,119398906.0,千克,安徽丰原国际贸易有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,128264572.0,431930581.0,千克,厦门建发原材料贸易有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,10528681.0,35133027.0,千克,建发物流（青岛）有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,3979153.0,14546410.0,千克,日照创佳工贸有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,422722.0,1618239.0,千克,山东皇昕国际贸易有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1228338.0,4149575.0,千克,,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1692673.0,5617814.0,千克,青岛柏尊贸易有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,3687965.0,13586976.0,千克,青岛海之达国际商务有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,7021016.0,22911814.0,千克,湖南正虹科技发展股份有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,51552458.0,169263495.0,千克,广州植之元油脂实业有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,10059000,玉米，种用除外,13903446.0,56854080.0,千克,天津农垦龙呈嘉益国际贸易有限公司,一般贸易,其它运输代码修正,保加利亚,hs100590,usd
进口,2015.0,07141020,木薯干,703601.0,3240630.0,千克,浙江省粮油食品进出口股份有限公司,一般贸易,其它运输代码修正,加纳,hs071410,usd
进口,2015.0,07141020,木薯干,148368.0,614383.0,千克,佛山市顺德区汇川进出口贸易有限公司,一般贸易,其它运输代码修正,加纳,hs071410,usd
进口,2015.0,07141020,木薯干,10954.0,54770.0,千克,佛山市日进金进出口贸易有限公司,一般贸易,其它运输代码修正,尼日利亚,hs071410,usd
进口,2015.0,10051000,种用玉米,1090199.0,21000.0,千克,新疆康地种业科技股份有限公司,一般贸易,其它运输代码修正,德国,hs100510,usd
进口,2015.0,10059000,玉米，种用除外,855855.0,4732954.0,千克,黑河和兴经贸有限公司,一般贸易,其它运输代码修正,俄罗斯联邦,hs100590,usd
进口,2015.0,10039000,其他大麦,5682249.0,22000000.0,千克,中国国投国际贸易有限公司,一般贸易,其它运输代码修正,乌克兰,hs100300,usd
进口,2015.0,10049000,其他燕麦,1245738.0,3559250.0,千克,钰嘉(上海)食品有限公司,一般贸易,其它运输代码修正,英国,hs100400,usd
进口,2015.0,10059000,玉米，种用除外,1381163.0,7971970.0,千克,黑河市北丰农业科技服务有限公司,一般贸易,其它运输代码修正,俄罗斯联邦,hs100590,usd
进口,2015.0,10039000,其他大麦,3389235.0,15293050.0,千克,,一般贸易,其它运输代码修正,乌克兰,hs100300,usd
进口,2015.0,10039000,其他大麦,7228316.0,33086940.0,千克,江苏省江海粮油集团有限公司,一般贸易,其它运输代码修正,乌克兰,hs100300,usd
进口,2015.0,10039000,其他大麦,2371594.0,11000000.0,千克,厦门速传物流发展股份有限公司,一般贸易,其它运输代码修正,乌克兰,hs100300,usd
进口,2015.0,10039000,其他大麦,10462239.0,48506000.0,千克,深圳市福加德谷物有限公司,一般贸易,其它运输代码修正,乌克兰,hs100300,usd
进口,2015.0,10059000,玉米，种用除外,103635632.0,454243339.0,千克,中粮集团有限公司,一般贸易,其它运输代码修正,乌克兰,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,1933340.0,8400000.0,千克,山东商氏生态农业科技股份有限公司,一般贸易,其它运输代码修正,乌克兰,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,1087809.0,5019000.0,千克,广州市江丰实业股份有限公司,一般贸易,其它运输代码修正,乌克兰,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,272969.0,1017520.0,千克,中国爱地集团公司,一般贸易,其它运输代码修正,乌克兰,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,1143765.0,4461913.0,千克,,一般贸易,其它运输代码修正,乌克兰,hs100590,usd
进口,2015.0,10039000,其他大麦,49054370.0,205014842.0,千克,厦门市明穗粮油贸易有限公司,一般贸易,其它运输代码修正,加拿大,hs100300,usd
进口,2015.0,10039000,其他大麦,21734808.0,63351050.0,千克,青岛啤酒股份有限公司,一般贸易,其它运输代码修正,加拿大,hs100300,usd
进口,2015.0,10051000,种用玉米,331281.0,18143.0,千克,北京奥立沃种业科技有限公司,一般贸易,航空运输,智利,hs100510,usd
进口,2015.0,10059000,玉米，种用除外,5144540.0,18804687.0,千克,日照卓乔国际贸易有限公司,一般贸易,其它运输代码修正,美国,hs100590,usd
进口,2015.0,10079000,其他食用高梁,1189076.0,4220016.0,千克,中轻日用百货进出口公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,12871162.0,49008000.0,千克,上海上实国际贸易(集团)有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,45369177.0,167085717.0,千克,浙江省粮食集团有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,1777085.0,5965812.0,千克,安徽丰原国际货运有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,116431722.0,425382620.0,千克,厦门建发农产品有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,313765.0,1158618.0,千克,青岛星芒贸易有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,3612936.0,6921721.0,千克,,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,17519479.0,67861933.0,千克,上海浦耀贸易有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,2146688.0,10175130.0,千克,,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,3054226.0,9705928.0,千克,福州保税区东港实业有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1235757.0,3997455.0,千克,江西正邦科技股份有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1294557.0,4338235.0,千克,威海天惠科技饲料有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,155342.0,496402.0,千克,日照东昱国际经贸有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,418304.0,1403993.0,千克,日照信诺达贸易有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,419042.0,2082954.0,千克,,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1857287.0,5959682.0,千克,,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,23675582.0,81645815.0,千克,青岛天普阳光商贸有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,13903880.0,52139375.0,千克,青岛麦泽商贸有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,13858375.0,47946082.0,千克,深圳市福加德谷物有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,55186007.0,180975539.0,千克,湛江嘉冠禾贸易有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,13185926.0,41557835.0,千克,广东恒兴饲料实业股份有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,14938722.0,55288568.0,千克,广州市海大饲料有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,142949.0,519586.0,千克,,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,10039000,其他大麦,22179978.0,58400025.0,千克,中粮麦芽(江阴)有限公司,一般贸易,其它运输代码修正,加拿大,hs100300,usd
进口,2015.0,10039000,其他大麦,15482107.0,66000000.0,千克,厦门建发农产品有限公司,一般贸易,其它运输代码修正,加拿大,hs100300,usd
进口,2015.0,10039000,其他大麦,15319312.0,64800000.0,千克,厦门速传物流发展股份有限公司,一般贸易,其它运输代码修正,加拿大,hs100300,usd
进口,2015.0,10039000,其他大麦,2907368.0,9290615.0,千克,永顺泰(昌乐)麦芽有限公司,一般贸易,其它运输代码修正,加拿大,hs100300,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,316010.0,1018602.0,千克,厦门建发股份有限公司,一般贸易,其它运输代码修正,加拿大,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,151757.0,493941.0,千克,厦门建发原材料贸易有限公司,一般贸易,其它运输代码修正,加拿大,hs230330,usd
进口,2015.0,10059000,玉米，种用除外,1942.0,1998.0,千克,上海加州阳光食品有限公司,一般贸易,其它运输代码修正,美国,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,6216162.0,28457759.0,千克,厦门市明穗粮油贸易有限公司,一般贸易,其它运输代码修正,美国,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,2256852.0,9355499.0,千克,唐人神集团股份有限公司,一般贸易,其它运输代码修正,美国,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,11405369.0,55000000.0,千克,广州市华壬谷物贸易有限公司,一般贸易,其它运输代码修正,美国,hs100590,usd
进口,2015.0,10071000,种用食用高梁,660.0,100.0,千克,安徽荃银高科种业股份有限公司,一般贸易,航空运输,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,2841659.0,10700000.0,千克,中国化纤总公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,36656174.0,123781733.0,千克,上海良友(集团)有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,299414080.0,1095990897.0,千克,厦门建发原材料贸易有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,16026080.0,59900018.0,千克,厦门速传物流发展股份有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,92304280.0,327675119.0,千克,厦门市明穗粮油贸易有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,1082676.0,3962415.0,千克,淄博农昌生物技术有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,20669574.0,77492864.0,千克,广州市华壬谷物贸易有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,11413778.0,39405273.0,千克,广东新粮实业有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,62410307.0,211326694.0,千克,中国国投国际贸易有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,248062463.0,893190887.0,千克,中粮粮油有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,142902997.0,472650635.0,千克,恒天创业投资有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,5399031.0,17674830.0,千克,,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,76441877.0,258506312.0,千克,厦门建发农产品有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1660369.0,6136558.0,千克,厦门明萱饲料有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,3805721.0,12757459.0,千克,厦门特贸象屿发展有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,79487.0,261299.0,千克,,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,328188.0,1061633.0,千克,青岛胜通长贸进出口有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,24744104.0,85282612.0,千克,山东雅禾农业有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,205431.0,753000.0,千克,日照市蓝灏经贸有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,312125.0,1003575.0,千克,山东佳农国际贸易有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,287232.0,925736.0,千克,青岛万康商贸有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1706507.0,5200845.0,千克,湖南宝仪贸易发展有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,9083850.0,34778481.0,千克,广东福百盛粮食有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,12714893.0,45000753.0,千克,广东金禾面粉有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,8316469.0,31430362.0,千克,,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,935409.0,3025435.0,千克,陕西石羊进出口有限责任公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,10039000,其他大麦,3254719.0,11000000.0,千克,秦皇岛中轻啤酒原料有限公司,一般贸易,其它运输代码修正,澳大利亚,hs100300,usd
进口,2015.0,10039000,其他大麦,68078948.0,227230740.0,千克,中粮麦芽(江阴)有限公司,一般贸易,其它运输代码修正,澳大利亚,hs100300,usd
进口,2015.0,10039000,其他大麦,445649.0,1988190.0,千克,浙江祥云科技股份有限公司,一般贸易,其它运输代码修正,澳大利亚,hs100300,usd
进口,2015.0,10039000,其他大麦,529679.0,2052120.0,千克,厦门建发农产品有限公司,一般贸易,其它运输代码修正,澳大利亚,hs100300,usd
进口,2015.0,10039000,其他大麦,1322769.0,5005600.0,千克,厦门速传物流发展股份有限公司,一般贸易,其它运输代码修正,澳大利亚,hs100300,usd
进口,2015.0,10039000,其他大麦,23080537.0,87758610.0,千克,厦门市明穗粮油贸易有限公司,一般贸易,其它运输代码修正,澳大利亚,hs100300,usd
进口,2015.0,10039000,其他大麦,534934.0,1993830.0,千克,唐人神集团股份有限公司,一般贸易,其它运输代码修正,澳大利亚,hs100300,usd
进口,2015.0,10039000,其他大麦,134913.0,518610.0,千克,深圳市农牧实业有限公司,一般贸易,其它运输代码修正,澳大利亚,hs100300,usd
进口,2015.0,10039000,其他大麦,3162921.0,11537010.0,千克,湛江嘉冠禾贸易有限公司,一般贸易,其它运输代码修正,澳大利亚,hs100300,usd
进口,2015.0,10049000,其他燕麦,3091824.0,9771680.0,千克,钰嘉(上海)食品有限公司,一般贸易,其它运输代码修正,澳大利亚,hs100400,usd
进口,2015.0,10049000,其他燕麦,4915743.0,15731940.0,千克,广西贺州西麦生物食品有限公司,一般贸易,其它运输代码修正,澳大利亚,hs100400,usd
进口,2015.0,10079000,其他食用高梁,5532078.0,19709010.0,千克,辽宁粮油进出口股份有限公司,一般贸易,其它运输代码修正,澳大利亚,hs100700,usd
进口,2015.0,10079000,其他食用高梁,2647464.0,9564730.0,千克,青岛天普阳光商贸有限公司,一般贸易,其它运输代码修正,澳大利亚,hs100700,usd
进口,2015.0,10079000,其他食用高梁,3537413.0,11550000.0,千克,佛山市顺德天天饲料有限公司,一般贸易,其它运输代码修正,澳大利亚,hs100700,usd
进口,2015.0,10051000,种用玉米,9858.0,1000.0,千克,北京金色谷雨种业科技有限公司,一般贸易,其它运输代码修正,德国,hs100510,usd
进口,2015.0,10059000,玉米，种用除外,1825081.0,9599319.0,千克,黑河市丰泰机电产品交易有限公司,一般贸易,其它运输代码修正,俄罗斯联邦,hs100590,usd
进口,2015.0,10039000,其他大麦,7646583.0,34713050.0,千克,厦门建发农产品有限公司,一般贸易,其它运输代码修正,乌克兰,hs100300,usd
进口,2015.0,10059000,玉米，种用除外,5055945.0,18980000.0,千克,,一般贸易,其它运输代码修正,乌克兰,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,32536851.0,149348000.0,千克,天成玉米开发有限公司,一般贸易,其它运输代码修正,乌克兰,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,11340331.0,52778205.0,千克,,一般贸易,其它运输代码修正,乌克兰,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,11718617.0,55240000.0,千克,,一般贸易,其它运输代码修正,乌克兰,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,1130058.0,5430000.0,千克,重庆红蜻蜓油脂有限责任公司,一般贸易,其它运输代码修正,乌克兰,hs100590,usd
进口,2015.0,10039000,其他大麦,76675.0,296460.0,千克,中服嘉远贸易公司,一般贸易,其它运输代码修正,阿根廷,hs100300,usd
进口,2015.0,10051000,种用玉米,120369.0,11000.0,千克,北京奥立沃种业科技有限公司,一般贸易,航空运输,阿根廷,hs100510,usd
进口,2015.0,10079000,其他食用高梁,972974.0,3843100.0,千克,厦门市明穗粮油贸易有限公司,一般贸易,其它运输代码修正,阿根廷,hs100700,usd
进口,2015.0,10039000,其他大麦,2403448.0,9647097.0,千克,,一般贸易,其它运输代码修正,加拿大,hs100300,usd
进口,2015.0,10039000,其他大麦,7724558.0,29001235.0,千克,新谷(上海)贸易有限公司,一般贸易,其它运输代码修正,加拿大,hs100300,usd
进口,2015.0,10039000,其他大麦,8149932.0,31500000.0,千克,安徽安粮国际发展有限公司,一般贸易,其它运输代码修正,加拿大,hs100300,usd
进口,2015.0,10039000,其他大麦,39755341.0,114554570.0,千克,广州麦芽有限公司,一般贸易,其它运输代码修正,加拿大,hs100300,usd
进口,2015.0,10059000,玉米，种用除外,764684.0,3157071.0,千克,大成食品(大连)有限公司,一般贸易,其它运输代码修正,美国,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,112034.0,163296.0,千克,上海辰冠进出口有限公司,一般贸易,其它运输代码修正,美国,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,752878.0,3574413.0,千克,朗信(张家港保税区)贸易有限公,一般贸易,其它运输代码修正,美国,hs100590,usd
进口,2015.0,10059000,玉米，种用除外,131599.0,468592.0,千克,安徽安粮国际发展有限公司,一般贸易,其它运输代码修正,美国,hs100590,usd
进口,2015.0,10079000,其他食用高梁,182537887.0,667360704.0,千克,中粮粮油有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,3441541.0,12000000.0,千克,大连中嘉贸易有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,92201858.0,328551941.0,千克,光明米业集团上海国际贸易有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,31454231.0,110719791.0,千克,托福国际贸易(上海)有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,138767.0,494113.0,千克,青岛致中和工贸有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,20588395.0,74381059.0,千克,山东中慧国际贸易有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,10079000,其他食用高梁,34625.0,129292.0,千克,山东汇能燃料发展有限公司,一般贸易,其它运输代码修正,美国,hs100700,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1144053.0,4804380.0,千克,中国化纤总公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,874375.0,3687897.0,千克,北京中垦绿粮油有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,678414.0,3375438.0,千克,上海优海进出口有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,3211721.0,12353563.0,千克,中轻物产股份有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,646963.0,2020647.0,千克,上海锦明国际贸易有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,414985.0,2023230.0,千克,,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,4233578.0,14733534.0,千克,常州机械设备进出口有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,368187.0,1556824.0,千克,江苏国泰华博进出口有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,14970418.0,51614625.0,千克,建发物流集团有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,51500020.0,174337985.0,千克,厦门速传物流发展股份有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,10195408.0,32525424.0,千克,厦门百拓粮油食品有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,19998207.0,64341275.0,千克,双胞胎(集团)股份有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1594487.0,6299394.0,千克,江西喜盈盈农牧贸易有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,7805899.0,26105324.0,千克,青岛祥农进出口有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,491863.0,2036720.0,千克,潍坊中基集团有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,5157973.0,16401878.0,千克,莒县华洋塑料制品有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1584018.0,5053050.0,千克,日照龙诺贸易有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1233566.0,4043141.0,千克,,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,561545.0,2007732.0,千克,青岛英旺达国际贸易有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,9927933.0,28742583.0,千克,唐人神集团股份有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,331959.0,1036803.0,千克,,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,2804113.0,9395345.0,千克,佛山市顺德区广顺饲料有限公司,一般贸易,其它运输代码修正,美国,hs230330,usd
进口,2015.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1982037.0,6787975.0,千克,重庆红蜻蜓油脂有限责任公司,一般贸易,其它运输代码修正,美国,hs230330,usd
