进出口类型,日期,商品编码,商品名称,金额,贸易伙伴名称,贸易方式,公司,商品1996编码,货币
进口,2016.0,07141020,木薯干,10567989.0,越南,一般贸易,广西中粮生物质能源有限公司,hs071410,usd
进口,2016.0,10059000,玉米，种用除外,1071682.0,俄罗斯联邦,一般贸易,黑河市北丰农业科技服务有限公司,hs100590,usd
进口,2016.0,10039000,其他大麦,12485611.0,加拿大,一般贸易,盐城海越麦芽有限公司,hs100300,usd
进口,2016.0,07141020,木薯干,2859292.0,泰国,一般贸易,安徽安特食品股份有限公司,hs071410,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,193463.0,美国,一般贸易,烟台戴维国际贸易有限公司,hs230330,usd
进口,2016.0,07141020,木薯干,2323570.0,越南,一般贸易,浙江物产化工集团有限公司,hs071410,usd
进口,2016.0,10059000,玉米，种用除外,469775.0,老挝,除一般贸易及加工贸易外合计（代码修正）,勐腊县盛利橡胶有限责任公司,hs100590,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1778151.0,美国,一般贸易,厦门明萱饲料有限公司,hs230330,usd
进口,2016.0,07141020,木薯干,34941540.0,泰国,一般贸易,南京红太阳股份有限公司,hs071410,usd
进口,2016.0,10039000,其他大麦,517601.0,法国,一般贸易,欧麦(保定)麦芽有限公司,hs100300,usd
进口,2016.0,10051000,种用玉米,7728.0,阿根廷,一般贸易,上海种业(集团)有限公司,hs100510,usd
进口,2016.0,10039000,其他大麦,26637668.0,加拿大,一般贸易,中粮麦芽(大连)有限公司,hs100300,usd
进口,2016.0,07141020,木薯干,13088037.0,越南,一般贸易,山东汇能燃料发展有限公司,hs071410,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,6985349.0,美国,一般贸易,山东中慧国际贸易有限公司,hs230330,usd
进口,2016.0,10059000,玉米，种用除外,974322.0,老挝,除一般贸易及加工贸易外合计（代码修正）,云南强胜农业技术开发有限公司,hs100590,usd
进口,2016.0,10039000,其他大麦,192056.0,澳大利亚,一般贸易,湖南浏阳河饲料有限公司,hs100300,usd
进口,2016.0,10059000,玉米，种用除外,1291527.0,缅甸,一般贸易,瑞丽市鑫和源工贸有限公司,hs100590,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,441546.0,美国,一般贸易,北京华辰兴业科技有限公司,hs230330,usd
进口,2016.0,07141020,木薯干,5228.0,柬埔寨,除一般贸易及加工贸易外合计（代码修正）,中粮集团有限公司,hs071410,usd
进口,2016.0,10079000,其他食用高梁,1267068.0,美国,一般贸易,朗信(张家港保税区)贸易有限公司,hs100700,usd
进口,2016.0,10059000,玉米，种用除外,179628.0,缅甸,一般贸易,沧源县天宏有限责任公司,hs100590,usd
进口,2016.0,10041000,种用燕麦,38247.0,澳大利亚,一般贸易,北京佰青源畜牧业科技发展有限公司,hs100400,usd
进口,2016.0,10039000,其他大麦,20828512.0,澳大利亚,一般贸易,北京燕京啤酒股份有限公司,hs100300,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1876690.0,美国,一般贸易,广州仁亿进出口贸易有限公司,hs230330,usd
进口,2016.0,10059000,玉米，种用除外,82390.0,美国,一般贸易,亮奎贸易(上海)有限公司,hs100590,usd
