wave,t1,qroulei,qzhurou,qniurou,qyangrou,qnailei,qqindan
2003,44,359.6,234.5,5.8,0.6,10.8,32.5
2003,46,47,28.4,2.7,1.3,0.1,2.6
2003,14,66.5,46.8,6.7,7.2,55.6,50.3
2003,33,153.9,117.2,1.4,3.6,24.7,42.2
2003,45,227.1,179.8,12.9,2.8,3.8,15
2003,64,23.4,10.7,3.7,5.5,38.7,8.7
2003,11,70.3,32.7,5.2,4.7,63.7,16.2
2003,15,162.7,71.3,24,45.3,312.2,34.4
2003,35,146.2,116.4,2.5,1.6,19.5,42.4
2003,41,603.6,386,93,42,52.6,326.2
2003,54,19,0.9,10.8,7.4,25.1,0.2
2003,61,92.1,62,10.5,7.9,107.1,49
2003,62,75.9,48.7,10.7,10.6,22.6,13.4
2003,63,23.7,7.4,7.1,8.5,23.5,1.4
2003,65,110,17.4,28.8,45.5,120.8,23.6
2003,13,502.4,290.3,78.6,29,207.6,415.2
2003,21,280.1,147.9,33.9,5.1,46.4,169.5
2003,31,50.8,24.6,0.1,0.9,27.1,15.1
2004,12,53.729,33.054,5.583,3.151,54.241,24.383
2004,14,66.559,46.824,6.7,7.227,63.668,52.044
2004,31,12.475,5.836,,0.746,25.2,10.512
2004,34,333.712,207.567,35.555,16.43,10.188,120.007
2004,42,309.324,240.714,15.87,5.83,11.673,118.106
2004,51,609.13,480.2,27,18.8,53.005,145.213
2004,52,147.95,119.991,11.383,5.019,3.608,9.92
2004,43,517.091,429.118,16.849,10.103,6.657,88.092
2004,44,360.458,237.73,6.325,0.628,11.218,31.675
2004,65,128.13,24.58,30.42,52.65,139.729,24.986
2004,11,70.837,31.815,5.089,4.908,70.078,15.886
2004,13,533.952,313.379,82.905,31.096,276.949,432.942
2004,32,346.848,219.753,5.292,17.386,56.897,175.39
2004,37,696.53,346.419,79.59,34.988,188.679,432.871
2004,41,641.531,410.318,98.325,44.646,78.9,347.4
2004,33,161.771,126.432,1.467,3.821,25.952,42.067
2004,54,20.825,1.042,12.189,7.594,26.203,0.294
2004,61,101.631,69.919,11.163,8.435,125.52,48.379
2004,63,24.817,8.014,7.298,8.844,24.095,1.406
2004,45,210.494,161.742,14.597,3.196,4.874,16.143
2004,64,24.351,10.164,4.655,6.06,46.925,7.815
2004,15,201.348,80.794,28.716,60.36,502.064,38.749
2004,21,318.381,175.29,37.29,6.115,62.276,192.386
2004,22,243.521,98.523,48.97,4,26.003,95.005
2004,23,165.342,93.872,31.421,9.013,378.062,98.288
2004,36,217.686,161.213,8.715,1.571,11.633,40.811
2004,35,151.262,121.514,2.826,1.806,21.141,43.438
2004,46,52.256,32.145,2.85,1.275,0.101,2.678
2004,50,168.445,137.116,5.729,3.405,8.624,36.552
2004,53,277.798,228.337,19.814,8.948,28.335,16.486
2004,62,76.641,48.198,11.272,11.229,25.866,13.729
2005,44,384.311,256.282,7.211,0.709,11.94,33.187
2005,46,58.209,36.961,2.96,1.33,0.114,2.652
2005,52,167.508,136.686,12.499,5.501,3.752,11.111
2005,53,298.598,244.187,21.726,10.105,32.683,18.995
2005,61,102.823,68.416,11.871,9.337,141.734,48.729
2005,42,327.313,256.338,16.321,5.996,12.222,121.25
2005,21,347.922,191.242,42.25,7.118,78.834,224.046
2005,36,237.105,175.868,10.188,1.603,12.521,42.087
2005,62,82.096,50.461,12.813,12.461,31.695,14.48
2005,12,57.782,35.632,6.241,3.04,63.414,23.469
2005,35,165.856,133.464,2.921,2.065,19.768,43.91
2005,51,653.551,513.687,28.499,20.005,59.031,157.168
2005,31,31.338,18.015,0.07,0.608,23.763,8.403
2005,33,165.348,125.136,1.378,3.922,26.669,44.517
2005,37,753.947,367.053,80.722,36.355,220.971,441.833
2005,45,242.919,186.004,16.871,3.762,5.365,17.739
2005,64,26.185,10.671,5.203,6.404,57.85,7.831
2005,13,571.901,337.37,86.859,33.728,348.637,458.967
2005,14,68.243,47.882,6.925,7.427,73.754,56.879
2005,15,229.465,87.593,33.597,72.432,696.865,46.178
2005,32,352.343,218.538,5.709,17.876,57.899,182.005
2005,50,177.957,143.835,5.832,3.588,8.608,39.148
2005,11,66.693,31.331,4.376,3.955,64.222,15.967
2005,23,173.513,100.443,31.109,10.726,444.225,102.737
2005,34,340.126,215.618,32.981,16.403,11.049,122.056
2005,41,685.947,440.825,100.783,46.661,108.5,375.3
