scenario,indicator,coef_source,region,commodity,year,value
BS,water_green,,KOR,RIC,2024,4.27315
BS,water_blue,,KOR,RIC,2024,1.2715
BS,water_grey,,KOR,RIC,2024,0.697276
BS,nitrogen_total,crop_nfert,KOR,RIC,2024,0.0969475
BS,land_harvested,ahv_physical,KOR,RIC,2024,0.710128
BS,land_prod,pn_land,KOR,RIC,2024,1.04405
BS,co2_faostat,faostat_wld,KOR,RIC,2030,3.77394
BS,water_green,,KOR,RIC,2030,4.60295
BS,water_blue,,KOR,RIC,2030,1.36964
BS,water_grey,,KOR,RIC,2030,0.751093
BS,nitrogen_total,crop_nfert,KOR,RIC,2030,0.10443
BS,land_harvested,ahv_physical,KOR,RIC,2030,0.730835
BS,land_prod,pn_land,KOR,RIC,2030,1.12463
BS,co2_faostat,faostat_wld,KOR,RIC,2035,4.00751
BS,water_green,,KOR,RIC,2035,4.88783
BS,water_blue,,KOR,RIC,2035,1.45441
BS,water_grey,,KOR,RIC,2035,0.797577
BS,nitrogen_total,crop_nfert,KOR,RIC,2035,0.110893
BS,land_harvested,ahv_physical,KOR,RIC,2035,0.747872
BS,land_prod,pn_land,KOR,RIC,2035,1.19423
BS,co2_faostat,faostat_wld,KOR,RIC,2040,4.24656
BS,water_green,,KOR,RIC,2040,5.17939
BS,water_blue,,KOR,RIC,2040,1.54116
BS,water_grey,,KOR,RIC,2040,0.845154
BS,nitrogen_total,crop_nfert,KOR,RIC,2040,0.117508
BS,land_harvested,ahv_physical,KOR,RIC,2040,0.764566
BS,land_prod,pn_land,KOR,RIC,2040,1.26547
BS,co2_faostat,faostat_wld,KOR,RIC,2045,4.50736
BS,water_green,,KOR,RIC,2045,5.49748
BS,water_blue,,KOR,RIC,2045,1.63581
BS,water_grey,,KOR,RIC,2045,0.897058
BS,nitrogen_total,crop_nfert,KOR,RIC,2045,0.124725
BS,land_harvested,ahv_physical,KOR,RIC,2045,0.782043
BS,land_prod,pn_land,KOR,RIC,2045,1.34319
BS,co2_faostat,faostat_wld,KOR,RIC,2050,4.79324
BS,water_green,,KOR,RIC,2050,5.84616
BS,water_blue,,KOR,RIC,2050,1.73956
BS,water_grey,,KOR,RIC,2050,0.953954
BS,nitrogen_total,crop_nfert,KOR,RIC,2050,0.132635
BS,land_harvested,ahv_physical,KOR,RIC,2050,0.800396
BS,land_prod,pn_land,KOR,RIC,2050,1.42838
BS,co2_faostat,faostat_wld,MEX,RIC,2024,0.254737
BS,water_green,,MEX,RIC,2024,0.310694
BS,water_blue,,MEX,RIC,2024,0.0924492
BS,water_grey,,MEX,RIC,2024,0.0506979
BS,nitrogen_total,crop_nfert,MEX,RIC,2024,0.00704891
BS,land_harvested,ahv_physical,MEX,RIC,2024,0.0442243
BS,land_prod,pn_land,MEX,RIC,2024,0.0759114
BS,co2_faostat,faostat_wld,MEX,RIC,2030,0.298025
BS,water_green,,MEX,RIC,2030,0.363492
BS,water_blue,,MEX,RIC,2030,0.108159
BS,water_grey,,MEX,RIC,2030,0.0593132
BS,nitrogen_total,crop_nfert,MEX,RIC,2030,0.00824676
BS,land_harvested,ahv_physical,MEX,RIC,2030,0.046724
BS,land_prod,pn_land,MEX,RIC,2030,0.0888112
BS,co2_faostat,faostat_wld,MEX,RIC,2035,0.322023
BS,water_green,,MEX,RIC,2035,0.392762
BS,water_blue,,MEX,RIC,2035,0.116869
BS,water_grey,,MEX,RIC,2035,0.0640894
BS,nitrogen_total,crop_nfert,MEX,RIC,2035,0.00891082
BS,land_harvested,ahv_physical,MEX,RIC,2035,0.0481257
BS,land_prod,pn_land,MEX,RIC,2035,0.0959627
BS,co2_faostat,faostat_wld,MEX,RIC,2040,0.346831
BS,water_green,,MEX,RIC,2040,0.423018
BS,water_blue,,MEX,RIC,2040,0.125872
BS,water_grey,,MEX,RIC,2040,0.0690266
BS,nitrogen_total,crop_nfert,MEX,RIC,2040,0.00959728
BS,land_harvested,ahv_physical,MEX,RIC,2040,0.0494181
BS,land_prod,pn_land,MEX,RIC,2040,0.103355
BS,co2_faostat,faostat_wld,MEX,RIC,2045,0.374109
BS,water_green,,MEX,RIC,2045,0.456289
BS,water_blue,,MEX,RIC,2045,0.135772
BS,water_grey,,MEX,RIC,2045,0.0744555
BS,nitrogen_total,crop_nfert,MEX,RIC,2045,0.0103521
