account,geography,scenario,indicator,boundary,region,commodity,year,unit,value,coef_source,quantity_variable,note
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2043,Mt N,5.16633,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2043,km3,71.9979,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2044,Mt CO2e,190.449,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2044,Mha,29.0886,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2044,Mt N,5.16614,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2044,km3,71.9989,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2045,Mt CO2e,190.444,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2045,Mha,29.0874,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2045,Mt N,5.16592,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2045,km3,71.9971,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2046,Mt CO2e,190.432,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2046,Mha,29.0859,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2046,Mt N,5.16566,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2046,km3,71.9927,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2047,Mt CO2e,190.414,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2047,Mha,29.0843,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2047,Mt N,5.16537,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2047,km3,71.9859,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2048,Mt CO2e,190.39,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2048,Mha,29.0825,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2048,Mt N,5.16506,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2048,km3,71.9769,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2049,Mt CO2e,190.361,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2049,Mha,29.0807,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2049,Mt N,5.16473,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2049,km3,71.9657,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2050,Mt CO2e,190.326,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2050,Mha,29.0788,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2050,Mt N,5.1644,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2050,km3,71.9526,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,WHEA,2023,Mt CO2e,23.2203,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,WHEA,2023,Mha,23.6273,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,WHEA,2023,Mt N,5.01134,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,WHEA,2023,km3,46.7138,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,WHEA,2024,Mt CO2e,23.8168,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,WHEA,2024,Mha,23.5874,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,WHEA,2024,Mt N,5.00289,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,WHEA,2024,km3,47.9139,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,WHEA,2025,Mt CO2e,23.9967,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,WHEA,2025,Mha,23.6135,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,WHEA,2025,Mt N,5.00842,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,WHEA,2025,km3,48.2757,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,WHEA,2026,Mt CO2e,24.1694,faostat_chn,production,
