sample,variable,n,mean,sd,p1,p50,p95,p99,min,max
strict45,p2,3095,4.412092891760905,1.8406659,2,4,8,11.25,1.48,13.9
strict45,p3,3095,13.48090834679591,4.0970554,9,12.75,22.200001,27.4,8,30
strict45,p4,3095,8.458887425955842,2.6218014,4.5900002,7.8534999,15.5,18,4,21.700001
strict45,p5,3095,2.229725767366721,.97061932,.98000002,2,4.29,5.4899998,.68000001,7.9000001
strict45,p6,3095,5.798961717824448,1.9509497,2.5,5.5,8.5,12,2,12
strict45,s1,3095,.2008433610755196,.15293367,.01200686,.16111013,.51256114,.76547319,0,.95613086
strict45,s2,3095,.0375219857042312,.062872298,0,.018521566,.1330363,.30987063,0,.90254372
strict45,s3,3095,.3506357050193231,.20906836,.0035983385,.32945505,.72470039,.87962186,0,.97074974
strict45,s4,3095,.0709183973225237,.095215268,0,.040171906,.261832,.52797592,0,.85419005
strict45,s5,3095,.1227222562376325,.10651749,.0041696052,.094551921,.32346898,.53999466,0,.86160284
strict45,s6,3095,.21735829464077,.17666532,0,.17314078,.57984197,.74700683,0,.93898749
strict45,food_exp,3095,669.605924133733,855.92859,18.387537,249.88411,2385.6201,3700.7686,2.6779323,8039.5059
strict45,food_exp_pc,3095,237.1388093178035,283.6658,7.0578318,102.76164,819.19,1242.7146,1.9167725,1895.0026
strict45,food_to_total_exp,3094,.4331285762203501,.6301899,.0065021934,.17071627,1.6846874,2.9342282,.00052859343,11.07516
strict45,income_annual,3061,48935.98253642595,115152.53,360,26200,149550,320000,14,2728000
strict45,hhsize,3095,2.975121163166397,1.4268508,1,3,6,7,1,10
lenient60,qt1_pc,3125,14.5179128839079,17.993326,.30612245,5.4190478,53.57143,75.179947,0,88.821426
lenient60,qt2_pc,3125,1.55364216164978,2.7822511,0,.44927272,7.1705241,14,0,30
lenient60,qt3_pc,3125,6.282304061905374,9.0379362,.01734104,2.4123626,24.882856,45.764999,0,59.328571
lenient60,qt4_pc,3125,1.721568350254014,2.791785,0,.4213483,7.4534163,14.285714,0,20.357143
lenient60,qt5_pc,3125,13.85990998475554,20.404907,.16574585,3.8051577,56.5,95.37619,0,138.24611
lenient60,qt6_pc,3125,8.811349858826187,14.064973,0,2.8571427,38.709763,66.547707,0,116.42857
lenient60,qb1_pc,3125,9.042975758823976,13.422169,0,2.8280618,38.215038,62.625,0,87
lenient60,qb2_pc,3125,1.281491152777815,2.3919683,0,.315,5.7142854,11.75,0,24.771427
lenient60,qb3_pc,3125,4.5634970658738,6.9499216,0,1.8099999,17.818928,33.487465,0,58.448978
lenient60,qb4_pc,3125,1.238839341711927,2.4867237,0,.16666667,6.4285712,12.857142,0,20.357143
lenient60,qb5_pc,3125,4.725270283806253,9.141202,0,1.2859155,21.140518,45,0,134.71428
lenient60,qb6_pc,3125,7.054053804749637,11.7642,0,2.1936357,31.328571,54.211868,0,98.150246
lenient60,qs1_pc,3125,5.042230025750245,9.9091387,0,.82644629,27.142859,45,0,82.64463
lenient60,qs2_pc,3125,.2433603631108673,1.2259901,0,0,1.0714285,5.3571429,0,25.714285
lenient60,qs3_pc,3125,1.392455809310473,4.3955951,0,0,8.5714283,23.785715,0,47.142857
lenient60,qs4_pc,3125,.4221243748043049,1.4748359,0,0,2.8571427,8.5714283,0,17.142857
lenient60,qs5_pc,3125,8.715052342442773,17.191811,0,1.0285715,46.07143,83.35714,0,128.57143
lenient60,qs6_pc,3125,1.250837436626168,6.2055745,0,0,6,32.142857,0,100
lenient60,qg1_pc,3125,.4327070942044196,2.8090904,0,0,1.3432835,10.714286,0,66.1157
lenient60,qg2_pc,3125,.028790642870439,.40794846,0,0,0,.42492917,0,12.857142
lenient60,qg3_pc,3125,.3263511770599853,1.9649879,0,0,.99264705,8.5714283,0,42.857143
lenient60,qg4_pc,3125,.0606046314010223,.481159,0,0,.04360465,2.1428571,0,13.846154
lenient60,qg5_pc,3125,.4195873555353289,2.4770014,0,0,1.1983471,11.142857,0,49.285713
