scenario,pgdp_multiplier_vs_2023,pgdp_real_2023_yuan_per_person,group,group_label_cn,item,item_label_cn,item_kcal_share_within_group_2023,kcal_per_cap_day,kg_per_cap_year,protein_g_per_cap_day,fat_g_per_cap_day,carb_g_per_cap_day
1.25x_2023_pgdp,1.25,96596.38159973972,meatsea,肉类水产,beef,牛肉,0.026626450892129068,9.21934287884378,2.7105667124015103,1.4630376657814288,0.30878181890864326,0.14703896138506825
1.25x_2023_pgdp,1.25,96596.38159973972,meatsea,肉类水产,mutton,羊肉,0.023440476922264718,8.11620725816918,1.4747851353514199,0.7600194081084989,0.5640144028594649,0.0
1.25x_2023_pgdp,1.25,96596.38159973972,meatsea,肉类水产,poultry,禽肉,0.11132795446680879,38.547029357683535,10.66449307629386,4.454836326965822,2.1697130297139235,0.30006669559873406
1.25x_2023_pgdp,1.25,96596.38159973972,meatsea,肉类水产,aquatic,水产品,0.07911650856997735,27.393895748201988,13.18229656966872,4.436474823611248,0.8819498143323566,0.4276120311914456
1.25x_2023_pgdp,1.25,96596.38159973972,dairyegg,奶类蛋类,egg,蛋类,0.7378382978879777,50.37596688736608,13.62178325867408,4.665740665751873,3.0871066059110133,0.9822611927898679
1.25x_2023_pgdp,1.25,96596.38159973972,dairyegg,奶类蛋类,milk,奶类,0.2621617021120224,17.899110499596038,12.009513478589254,0.9870832996100757,1.052888852917414,1.1186944062247524
1.5x_2023_pgdp,1.5,115915.65791968767,grain,主粮,grain,主粮,1.0,735.2996068652366,119.55157976926398,22.30209219894057,4.927964914844985,150.43488845896735
1.5x_2023_pgdp,1.5,115915.65791968767,oil,食用油,oil,食用油,1.0,234.06532913724607,9.502151611066045,0.0,26.007258793027344,0.0
1.5x_2023_pgdp,1.5,115915.65791968767,vegfruit,蔬菜水果,vegetable,蔬菜,0.5715044829741485,65.50038441341056,110.36163186490722,4.024722415763781,0.49980213006216884,14.099681142806448
1.5x_2023_pgdp,1.5,115915.65791968767,vegfruit,蔬菜水果,fruit,水果,0.42849551702585165,49.11006286172205,59.08099190681789,0.7565604278697721,0.19909484943941372,12.609340464496203
1.5x_2023_pgdp,1.5,115915.65791968767,meatsea,肉类水产,pork,猪肉,0.7594886091488202,265.45071548976335,26.34857614006331,8.861784128641567,24.839849451495304,1.6112334779348305
1.5x_2023_pgdp,1.5,115915.65791968767,meatsea,肉类水产,beef,牛肉,0.026626450892129068,9.306275769152117,2.7361257356181614,1.4768332360935177,0.31169344681370725,0.14842545086367012
1.5x_2023_pgdp,1.5,115915.65791968767,meatsea,肉类水产,mutton,羊肉,0.023440476922264718,8.192738239234357,1.48869147727673,0.7671859366458983,0.5693327214056404,0.0
1.5x_2023_pgdp,1.5,115915.65791968767,meatsea,肉类水产,poultry,禽肉,0.11132795446680879,38.910504793937626,10.76505286878438,4.496842769598779,2.1901721261258307,0.30289614510250845
1.5x_2023_pgdp,1.5,115915.65791968767,meatsea,肉类水产,aquatic,水产品,0.07911650856997735,27.65220380393786,13.3065977434902,4.478308128247496,0.8902660736877553,0.4316441569395177
1.5x_2023_pgdp,1.5,115915.65791968767,dairyegg,奶类蛋类,egg,蛋类,0.7378382978879777,50.82970092702674,13.744474040156433,4.707764779453034,3.1149120345253154,0.9911083746216913
1.5x_2023_pgdp,1.5,115915.65791968767,dairyegg,奶类蛋类,milk,奶类,0.2621617021120224,18.060326972750243,12.117682619584262,0.9959739139384325,1.0623721748676613,1.1287704357968902
2x_2023_pgdp,2.0,154554.21055958356,grain,主粮,grain,主粮,1.0,731.1513273919347,118.877115428841,22.176272314886823,4.900163219440095,149.58619228935666
