term,est,se,t,p,eq,n
Pp12,0.0194831703567942,0.0360903388000048,0.539844484829043,0.594493084147038,成人奶粉,584835
Pp13,0.0541790688555212,0.0205031102029177,2.64248049780326,0.014553436549837,成人奶粉,584835
Pz_fsize,-0.00822412120588371,0.0032761575785304,-2.51029476108803,0.0195448809972113,成人奶粉,584835
Pz_elderly,-0.0182687860906161,0.00950469907172993,-1.92207937913083,0.0670691476980757,成人奶粉,584835
Pz_lock_days,-0.000851333981637439,0.000675751616538979,-1.25983269710511,0.220363784036234,成人奶粉,584835
Pz_ln_covid,0.00243579560690687,0.00114004042324075,2.13658705187201,0.0434950668304594,成人奶粉,584835
Pz_cny_share,-0.00703111679782668,0.0285300862142,-0.246445690526065,0.807523465249416,成人奶粉,584835
Pz_hot_days,-0.000123627543759978,0.000747564815695915,-0.165373678862737,0.870094845048312,成人奶粉,584835
phi_7,-0.0734780965603376,0.0486957442399022,-1.508922344391,0.144934218976717,成人奶粉,584835
Py1,0.15029656607007,0.0291615187648718,5.15393478926477,3.18677319675637e-05,奶酪,584835
Py2,-0.0358978708311024,0.00606761263997258,-5.91630892760232,4.95961541203832e-06,奶酪,584835
Py3,0.00223381131099745,0.000419439822923716,5.32570154027487,2.0869934385422e-05,奶酪,584835
Pp1,0.0107489821319636,0.0340016492870519,0.316131198260931,0.754754015762679,奶酪,584835
Pp2,-0.10417780484383,0.0401900314707051,-2.59213046199693,0.0162942636006354,奶酪,584835
Pp3,0.00536240031848077,0.0185316873361022,0.289363845894059,0.774895309047268,奶酪,584835
Pp4,-0.030177260211945,0.0175152988340749,-1.72290866960472,0.0983259625730341,奶酪,584835
Pp5,-0.00746678903271208,0.0320144516210328,-0.233231826710615,0.817644618804964,奶酪,584835
Pp6,-0.00699117473667781,0.0151519748257466,-0.461403534329942,0.648843099696068,奶酪,584835
Pp7,0.0125498753176123,0.0107674119700053,1.16554241191592,0.255745005967282,奶酪,584835
Pp8,0.0120739699987412,0.0111579937768442,1.08209147990367,0.290426981305865,奶酪,584835
Pp9,0.0745106168843985,0.0379237942152415,1.96474583902401,0.0616365692069499,奶酪,584835
Pp10,0.00602231924149035,0.0139375811018266,0.432092139768864,0.669698411853885,奶酪,584835
Pp11,0.0242959144509461,0.0191110511290419,1.2713018392811,0.216328124909551,奶酪,584835
