crop,province,region,year,C_var,q_output,S_labor,S_mach,S_fert,S_seed,S_other,w_labor,w_mach,w_fert,w_seed,w_other,labor_days,fert_kg,cost_labor,cost_mach,cost_fert,cost_seed,cost_other,cost_land,land_rent
peanut,广东,huanan,2021,1344.19,193.21,0.622263221717168,0.0808516653151712,0.106696225979958,0.132406877003995,0.0577820099837077,92.2,110,8.55217650566488,19.2410810810811,29.9418953217023,9.08,16.77,836.44,108.68,143.42,177.98,77.67,188.72,22.24
peanut,广东,huanan,2022,1409.26,204.76,0.612683252203284,0.082426237883712,0.116876942508834,0.134070363169323,0.0539432042348467,95.3,200,9.8984375,20.7626373626374,27.5616043924196,9.07,16.64,863.43,116.16,164.71,188.94,76.02,194.06,27.24
peanut,广东,huanan,2023,1467.39,198.11,0.608038762701122,0.0910051179304752,0.118366623733295,0.132418784372253,0.0501707112628545,96.95,200,10.695197044335,19.8884339815763,26.5418058213557,9.2,16.24,892.23,133.54,173.69,194.31,73.62,191.36,26.2
peanut,广东,huanan,2024,1406.39,183.65,0.556801456210582,0.0968436920057736,0.126643391946757,0.153769580272897,0.0659418795639901,99.92,200,10.1083995459705,20.9351403678606,27.6552335998243,7.78,17.62,783.08,136.2,178.11,216.26,92.74,192.13,50.81
peanut,广西,huanan,2004,366.15,156.4,0.434849105557832,0.158377714051618,0.0425781783422095,0.204397105011607,0.159797897036734,13.7,64.5635546736519,3.47991071428571,5.61861861861862,10.3679086660673,11.48,4.48,159.22,57.99,15.59,74.84,58.51,63.74,8.98
peanut,广西,huanan,2005,397.12,153.9,0.475196414182111,0.092365028203062,0.124169016921837,0.190798751007252,0.117470789685737,15.3,69.2294707882832,3.49468462083629,5.55906089508437,13.8106920412565,11.6,14.11,188.71,36.68,49.31,75.77,46.65,55.87,4.98
peanut,广西,huanan,2007,469.25,149.6,0.483388385721897,0.110431539690996,0.131358550879062,0.187384123601492,0.087437400106553,18.7,78.75,3.77003058103976,7.37667785234899,22.7415011659067,12.13,16.35,226.83,51.82,61.64,87.93,41.03,71.22,5.39
peanut,广西,huanan,2008,601.42,188.9,0.46940573974926,0.0837850420671079,0.171477503242327,0.188720029264075,0.0866116856772306,21.6,89.3182,6.28841463414634,8.75096376252891,25.0722895311565,12.89,16.4,282.31,50.39,103.13,113.5,52.09,100.83,3.43
peanut,广西,huanan,2009,545.47,172.81,0.52450180578217,0.0937540103030414,0.153372321117568,0.139237721597888,0.0891341411993327,24.8,92.5000000000001,5.82185107863605,9.54145728643216,23.6635602779706,11.37,14.37,286.1,51.14,83.66,75.95,48.62,121.99,0.69
peanut,广西,huanan,2010,659.08,150.47,0.542362080475815,0.0989257753231777,0.124324816410754,0.164471687807246,0.0699156399830066,31.3,95.4167,5.26268464996789,14.4340878828229,20.9270626964537,11.18,15.57,357.46,65.2,81.94,108.4,46.08,115.23,5.22
