obs_id,province,provincechn,year,population_10k,expenditure_nominal,exp_food_nominal,deflator_total_2015,monetary_deflator,m,covered_food_exp,nonfood_exp,covered_daily_kcal,covered_food_budget_share,total_cpi_yoy,food_cpi_yoy,nonfood_cpi_yoy_approx,total_price_index_2023,food_price_index_2023,nonfood_price_index_2023,nonfood_relative_price_index_2023,national_nonfood_price_index_2023,food_budget_share_all,x_grain,p_grain_model,x_oil,p_oil_model,x_vegfruit,p_vegfruit_model,x_pork,p_pork_model,x_meatother,p_meatother_model,x_dairyegg,p_dairyegg_model,x_nonfood,p_nonfood_model
12_2016,12.0,天津,2016,1443,25591.917591088808,7855.631850996504,102.1,0.8844761540991233,28934.54783657256,2516.5925726177193,26417.955263954842,1530.1697832081718,0.08697535509564133,102.1,102.8,101.78996088717338,88.44761540991233,82.88913680122391,90.9581168613302,102.83840490191048,90.65303673800929,0.30695753153456,0.3901662995398668,941.1585515676637,0.13549281812876712,5286.942776598337,0.07142678030967123,8160.621505017444,0.081014642206274,3709.2015496242257,0.041439502475068495,9981.354575917258,0.04554484894443835,2986.78175121611,290.44087735710514,90.9581168613302
12_2017,12.0,天津,2017,1410,26707.876576056384,8294.966814720641,104.244095,0.9030501533352049,29575.186358605974,2634.9158501687693,26940.270508437203,1483.3169468935168,0.08909211317284041,102.1,99.9,103.09109414149768,90.30501533352049,82.8062476644227,93.76971788284739,103.83666680807353,92.7380565829835,0.31058129204315255,0.369275096173772,937.6225987779806,0.13431470153424657,5129.759410798467,0.06997625361460273,10427.023853868492,0.07981485599145208,3922.594251687216,0.041612037389342466,10311.612755623619,0.04666552874334246,2739.9345423279588,287.30245879693734,93.76971788284739
12_2018,12.0,天津,2018,1383,28136.596410959868,8136.6645103293595,106.27763,0.921111156401909,30546.363721039343,2387.0366080477165,28159.327112991625,1455.4207747526605,0.07814470585916593,102.0,103.4,101.43043154491431,92.1111156401909,85.62166008501308,95.11102950702079,103.25684239733704,94.77829382780914,0.28918439144117436,0.36371157488223427,901.4602329125362,0.12208846877260275,4915.263206428519,0.07050427453306848,9702.68386414955,0.08465258647430139,2358.263067244285,0.04011384251423288,10799.360206686397,0.046639640199890406,3047.8481022767774,296.0679456309848,95.11102950702079
12_2019,12.0,天津,2019,1385,29184.121929164787,8230.81629675888,109.14713,0.9459811576247606,30850.637662215635,2333.962949079122,28516.674713136512,1331.5357668556996,0.07565363719977973,102.7,106.0,101.40370364200213,94.59811576247607,90.75895969011387,96.44610649215656,101.9535174826532,96.10518994139846,0.2820306301055272,0.3234035243258499,847.4222749900138,0.10742854474109591,4595.007143694107,0.07131544184339726,10519.643423978485,0.0757874387152603,3165.4561274171333,0.041012840055835616,10800.380172840061,0.046820093746410954,2844.923235420528,295.6747115079821,96.44610649215656
12_2020,12.0,天津,2020,1387,25564.88562510833,7649.325450430695,111.33008,0.9649007807772559,26494.83359782864,2219.967532956179,24274.86606487246,1393.1963139049092,0.08378869505857604,102.0,107.6,99.60899340546673,96.4900780777256,97.6566406265625,96.06899585560166,99.56360049601707,96.48961070116405,0.2992121913863748,0.34173618641879705,787.320985363034,0.11870472439726028,4366.468460382302,0.07043950022834246,8096.7300260006205,0.07093226914249315,4727.664875684682,0.04256222942956164,9688.955138720541,0.052223247336000006,2193.1589312128544,252.68158419558443,96.06899585560166
12_2021,12.0,天津,2021,1373,29427.89053274753,8103.044318562734,112.77737,0.9774444909273602,30106.96853468121,2199.9778299709383,27906.99070471027,1369.5879385640662,0.07307204733803442,101.3,100.2,101.7179795090147,97.74444909273602,97.85195390781563,97.71944151891707,99.9744153514076,97.84046525098036,0.2753525370615885,0.3296657309258686,810.4093782207206,0.10468972602739726,4606.800440079221,0.07004762876712328,7948.973055591135,0.08865626301369865,3702.2142750254834,0.04193516849315069,10265.49976482978,0.049799452054794524,2711.1201019863956,285.5827895752749,97.71944151891707
12_2022,12.0,天津,2022,1363,27257.190277618814,8103.975826027704,114.920135,0.9960159362549801,27366.21903872929,2244.17159520743,25122.04744352186,1322.1713663667429,0.0820051755060291,101.9,102.4,101.68844345301646,99.60159362549801,100.20040080160321,99.36937903156748,99.76685654769373,99.60159362549801,0.2973151577065509,0.3113000469055084,797.8021947879951,0.10181897362602739,5134.34470352187,0.06493043331661644,8602.24462572005,0.09226918707386304,3764.1659058860178,0.04246734483921918,10200.164843236855,0.04829969742213698,2774.429587357083,252.81477743300715,99.36937903156748
12_2023,12.0,天津,2023,1364,30260.014654929626,8506.470784755073,115.379814,1.0,30260.014654929626,2100.3428400238963,28159.67181490573,1282.9030190102505,0.06940984212913234,100.4,99.8,100.63462303435767,100.0,100.0,100.0,100.0,100.0,0.2811125798106411,0.3017694690540021,788.9353543842642,0.09093333591369862,5585.000022553961,0.065562965456863,7826.720397252748,0.0921996926531507,3273.6312989881085,0.042932071629931505,9549.667745942923,0.04805397479747945,2693.757093916584,281.5967181490573,100.0
13_2015,13.0,河北,2015,7345,13030.68858,3515.5,100.0,0.8697269925374854,14982.504500615893,2026.3486677966443,12956.155832819248,1374.1680759774079,0.13524765954272508,100.9,100.9,100.9,86.97269925374854,79.32314018929398,90.25923570628747,103.7788139045222,89.40141690138984,0.26978620342410176,0.40449459318559416,902.7616041087346,0.11976409820958904,6084.907513279655,0.048519723864041096,9088.837861622536,0.06234689737800002,3156.76889863347,0.018453032078164386,9961.336156011983,0.03350569327331507,3307.304003235574,143.5438238695026,90.25923570628747
13_2016,13.0,河北,2016,7375,14036.939280788178,3762.660098522167,101.5,0.8827728974255475,15900.96311488997,1969.2758579864224,13931.687256903548,1393.5107314094355,0.12384632577018899,101.5,103.0,100.95066801790581,88.27728974255476,81.7028343949728,91.11730139335337,103.21714866765961,90.65303673800929,0.26805416930683573,0.4016523763961287,858.7121859742944,0.12477416668767125,5779.784017431819,0.052650490066534245,7342.772358812132,0.06118588820367125,3458.9629413147272,0.020582833062054794,9346.081284982913,0.03590961128865753,3135.5176388594946,152.89837433574175,91.11730139335337
13_2017,13.0,河北,2017,7409,14954.632022891397,3790.5572670048637,103.2255,0.897780036681782,16657.34524256532,1891.9249609393069,14765.420281626013,1335.562227767681,0.1135790207496438,101.7,98.7,102.7185950962948,89.7780036681782,80.64069754783814,93.59441188090922,104.25093904609035,92.7380565829835,0.25347044723016726,0.38372460963089516,863.3142682485955,0.1147937995109589,5667.74599814619,0.05121521958650685,8176.17981029197,0.061804839888986315,3061.7857794781285,0.019681925855424658,9926.036983543496,0.03656071941106849,2918.060314702304,157.759635269825,93.59441188090922
13_2018,13.0,河北,2018,7426,15812.25191433828,4038.8866457034596,105.75343,0.9193267575621448,17199.816914139366,1885.8498199087778,15313.96709423059,1379.7647366467029,0.10964359849426576,102.4,102.2,102.4686105723138,91.93267575621448,82.41479289389058,95.90489342769627,104.3207897940611,94.77829382780914,0.25542766884715934,0.4023691902445706,841.2166507484621,0.09414909638630138,5436.577609160692,0.05612028999183562,8958.743811591361,0.07975325500052056,2593.432932923401,0.02140976463831507,9944.971149713992,0.036080772061808215,3131.855866369739,159.67868319228106,95.90489342769627
13_2019,13.0,河北,2019,7447,16513.04054807005,4292.545932651979,108.92603,0.9469065602890092,17438.933513175827,2029.1734766371965,15409.760036538632,1458.6027177055523,0.11635880572077834,103.0,107.6,101.38421341266444,94.69065602890092,88.67831715382626,97.23242182592396,102.6842836491145,96.10518994139846,0.2599488519486296,0.44245091236066636,761.3808522055897,0.09374599167534246,4838.281822188565,0.060679880166945206,10584.99193176981,0.06896153108687672,3664.434339768811,0.023591344103876713,9535.853805624747,0.03987169945906849,2978.695290943126,158.48376238254002,97.23242182592396
13_2020,13.0,河北,2020,7464,16218.357981454725,4489.114166569424,111.21348,0.9667915980550782,16775.443657228352,2014.713372952957,14760.730284275396,1621.467790063429,0.12009896215679752,102.1,108.4,99.68881137644217,96.67915980550782,96.12729579474767,96.92984559079194,100.2592966113777,96.48961070116405,0.27679214947053277,0.4975118365019062,702.3670685013428,0.1080094741890411,4517.839237815699,0.06503538404054793,7424.44170346328,0.06517067995158905,5149.178035024496,0.028121733231260274,8871.683900366783,0.04688478711736986,2333.2519953548917,152.2826142382468,96.92984559079194
