path,bytes,mtime,sha256,generating_script,git_commit,manifest_built_at,r_version
_pre_audit_fix/subgroup_elasticities_main_v2.csv,9096,2026-07-08 13:09:40 CST,4d322bacfd8fc740eca883f000452ebd7ca46af2a0145ed6f2738950b5be56b8,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
_TOPUP_DONE,0,2026-07-07 22:08:47 CST,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
audit/control_function_own_price_compare_v2.csv,693,2026-07-11 12:07:39 CST,28e795895e1edc173cbbfd5d4013f48c7cfe7a7444bae9557fb229be06f74f48,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
audit/expenditure_control_function_dwh_v2.csv,137,2026-07-11 12:07:39 CST,d3b75650b2b3f51ed08c862b0cb80e72a689a62ed110b49b0eb6d7b50894913a,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
audit/expenditure_first_stage_diagnostics_v2.csv,176,2026-07-11 12:15:24 CST,f892e8e38e9502d26bb6a90e413320274f8ec308260b11a699c7b11f51bb813b,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
audit/finite_difference_step_sensitivity_v2.csv,1384,2026-07-11 12:12:19 CST,5b7a9ddc2ef121d19aa4d2f59e253f84e954e9f5e9d6f564c2858ac6d09a3bba,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
audit/hicksian_asymmetry_diagnostics_v2.csv,144,2026-07-11 12:07:58 CST,c60a90bd992316a18a4162a29198a304441a5821e7e37fc619428964e9f3f63e,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
audit/leave_one_province_out_intensive_summary_v2.csv,826,2026-07-11 12:14:42 CST,a370220f9b4e5bd02ff7b333a3800084b6273c2bce84cc7591cf37007d3765fc,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
audit/leave_one_province_out_intensive_v2.csv,10829,2026-07-11 12:14:42 CST,fec9e08dd8704dcf07c32ccf7b1c6cbefc15b84d2ba42264002dc8d1a7d60de5,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
audit/predicted_share_clipping_diagnostics_v2.csv,1026,2026-07-11 12:07:58 CST,ced3303a82d244847765401d44c4b573dfb29c40489dac06356f27f36ad0aed5,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
audit/price_identification_cells_v2.csv,586,2026-07-11 12:02:05 CST,d6351f28d77b8cefce21409b6b875f9247ad057fa250a2054c8408596dd13a5e,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
audit/purchase_cycle_exclusion_tests_v2.csv,566,2026-07-11 12:15:24 CST,f9d511e8637c713e2ebd26df8ea72ad2359329fe2b4f26a5710db2610cc85c0b,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/az_wald_test_v2.csv,229,2026-07-09 13:49:39 CST,83cd4e9132c9d947483fc12bd93b72212879c2280e5e9806345115ea523ad009,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/expenditure_elasticity_az_v2.csv,319,2026-07-09 13:51:10 CST,18db830c64b67908df8c7ee360ff25575ccb937c456d263df0e84f6551de1f94,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/expenditure_elasticity_curv_v2.csv,318,2026-07-09 14:06:05 CST,27046e991b60173d4d67197fa43e358182e02c78ea3396b4864ba9f02649f23f,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/expenditure_elasticity_easi_y2p_v2.csv,318,2026-07-09 13:47:57 CST,9cfe8755bafd00aa3faedcac6256b8ed54a0f733606a1d83676afea963988953,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/expenditure_elasticity_main_v2.csv,317,2026-07-09 13:45:49 CST,07b7e5f9cf9aaf4cf45c6802c58f64da7deab4d1f604138f470a002c33056218,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/expenditure_elasticity_quaids_v2.csv,315,2026-07-07 11:23:42 CST,81035897066d3fb0d87ff0f88b5524807ea6ea8cb578771f5a4d5cf047f5245a,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/expenditure_elasticity_rp_v2.csv,319,2026-07-07 12:24:18 CST,9c1f413afb871538bfa4978650d147c596ae93d6f3b30f14dce1f9391ca853c3,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/hicksian_az_v2.csv,1678,2026-07-09 13:51:10 CST,d0d861fcf82e26333e89aa673337bce9299a7886ce9979296a0eaf54eb830cbf,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/hicksian_curv_v2.csv,1660,2026-07-09 14:06:05 CST,1543df76271dfb5fb3187fee139125ea1bd17e8a288cf0c7ac9600ab4810af1b,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/hicksian_easi_y2p_v2.csv,1684,2026-07-09 13:47:57 CST,4d957446e37a0a3e47506d240e6996cd90c83be27a9541a706db5c741c73ec6e,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/hicksian_main_v2.csv,1675,2026-07-09 13:45:49 CST,ec31d1f74d154b69978afae26cc27d88633ca75300c60cd297e705f68506c890,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/hicksian_quaids_v2.csv,1677,2026-07-07 11:23:42 CST,82d905964fddd0db02721044407ac7c14471d40c906325dfe47cd50567caa4aa,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/hicksian_rp_v2.csv,1626,2026-07-07 12:24:18 CST,8ac75bae7085815a2e8396c8cd0b9f544e7bc1d46c50c499cc448f3da97e3960,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/main_fit_curv_v2.rds,97275,2026-07-09 14:06:05 CST,6863c56dab96e5f1e728d4e12079244276cea845cedaa916f59b0db72a399b80,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/main_fit_v2.rds,1986604,2026-07-09 14:01:42 CST,3747560a7e523f65f6c6ad9082160d12d10a99b8ba8884d5c78baa90c6ff72a8,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/marshallian_az_v2.csv,1702,2026-07-09 13:51:10 CST,1d8826e3d2afbede7251af81c707b807aafa7f80e320c3d39bd45cb686655581,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/marshallian_curv_v2.csv,1697,2026-07-09 14:06:05 CST,8dfa65474b2ca10b52ef4e7864121840fa93e713c6c26caca92333eca54f86f4,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/marshallian_easi_y2p_v2.csv,1705,2026-07-09 13:47:57 CST,64e3b379401b8a1778e52e949bc5531f04b1ab5f8a43fe1c4aec873263121883,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/marshallian_main_v2.csv,1704,2026-07-09 13:45:49 CST,28ad27d8609d4940835b8a87ec829a240f8a10eab1825dbacc019f565a9681ab,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/marshallian_quaids_v2.csv,1690,2026-07-07 11:23:42 CST,28c7c1d2aa5305bc0fd450d25d69d0fbf2d26063615dbf1ccbbf6a2e8721f4e1,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/marshallian_rp_v2.csv,1639,2026-07-07 12:24:18 CST,3abbd7ba529033758e4067045598b7399c64d61bb6682426a8393151ac603bf9,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/out_of_fold_fit_v2.csv,2404,2026-07-09 14:01:42 CST,248d35430b0c4d77af0f65247be43a2799265754fbb86f5ec4fff38a1b34bf19,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/probit_fit_stats_v2.csv,926,2026-07-09 13:42:48 CST,32e5de168836023ee5de2699cda20ac05d67117204f357fe3b67e2d2d959d14e,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/score_multiplier_boot_province_price_terms_v2.csv,5766,2026-07-09 13:44:19 CST,98cd789e34acf42eca91501805794f3c5bed0bdd674cf2d325ba33731a1caf68,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/subgroup_elasticities_az_v2.csv,4075,2026-07-09 13:51:10 CST,0221a63d31135e385f643a60b130265bb6891b9daf7716d15b7e6e51c444538e,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/subgroup_elasticities_curv_v2.csv,10003,2026-07-09 14:06:05 CST,eb8c71e86227ee469fa4095e8d76b1a61d09c0222508f713cd74c8ee5b6129ae,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/subgroup_elasticities_main_v2.csv,9206,2026-07-09 13:45:49 CST,5acbfba5c3052db607b9b9e1f3b0eeb6dfdd3782253c9479d8cd565b272e4be0,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/subgroup_elasticities_rp_v2.csv,17827,2026-07-07 12:24:18 CST,9cdb1146632a38ca8b99ebc8084041668227188318b457f64fd8c3cc86d6986a,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/system_coefficients_az_v2.csv,24794,2026-07-09 13:51:10 CST,537c5c0059432bf003ac78094ddce58f7c62f7cbd885303fcad1df0b1dde7d73,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/system_coefficients_curv_v2.csv,18116,2026-07-09 14:06:05 CST,7911accc5f661dd3773884c0f05366a1e6b3ab9d167c8b743cc73f08701c0281,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
