draw,success,nll_aidads,nll_maidads,lr_stat,message,elapsed_seconds,n_sampled_provinces,n_unique_sampled_provinces
204,True,-3027.683719896741,-3362.652109188607,669.9367785837321,ok,188.70482182502747,31,16
205,True,-3112.469727472552,-3288.2755111157203,351.61156728633705,ok,199.45765018463135,31,20
206,True,-3222.769367719684,-3415.6341133718415,385.7294913043152,ok,191.0795032978058,31,21
207,True,-3338.960611288996,-3389.8311349650376,101.74104735208311,ok,56.1614887714386,31,17
208,True,-3044.062584393254,-3361.806183544909,635.4871983033099,ok,179.52362489700317,31,19
209,True,-3210.8804390791984,-3247.6854722200287,73.61006628166069,ok,37.664186239242554,31,21
210,True,-3458.7417414228503,-3511.841551407128,106.19961996855544,ok,109.88488101959229,31,20
211,True,-3523.6817418722426,-3584.261440517437,121.15939729038928,ok,91.85187220573424,31,18
212,True,-3465.1963981862364,-3525.299981746413,120.207167120353,ok,86.18521404266357,31,20
213,True,-3062.7993566334176,-3340.373428742371,555.1481442179065,ok,170.23302912712097,31,19
214,True,-3139.5659848061873,-3371.2810167906523,463.43006396893,ok,184.93464612960815,31,19
215,True,-3447.7744454327367,-3551.926445728354,208.3040005912344,ok,228.49322390556335,31,16
216,True,-3355.2467751984095,-3498.1148181971844,285.7360859975497,ok,162.61086797714233,31,20
217,True,-3286.9052983191136,-3476.6606083229085,379.51062000758975,ok,214.24540781974792,31,22
218,True,-3605.657334738178,-3662.918419402134,114.52216932791087,ok,208.08679294586184,31,21
219,True,-3288.697258493007,-3421.2086661608223,265.0228153356302,ok,118.62411308288574,31,17
220,True,-3160.725585363534,-3439.1046817494266,556.7581927717856,ok,121.36977410316469,31,21
221,True,-3092.4438835853307,-3093.176411975119,1.4650567795770255,ok,73.86506295204163,31,18
222,False,-3422.34458050546,-3462.2029318996215,79.71670278832335,ok,203.3953468799591,31,21
223,True,-3506.395274756836,-3565.854204184009,118.91785885434638,ok,181.73504495620728,31,21
224,True,-3506.9557044059666,-3541.91190941468,69.91241001742674,ok,39.53934097290039,31,19
225,True,-3086.362848160324,-3325.9557194760523,479.1857426314564,ok,125.78885197639464,31,20
226,True,-3112.830830403013,-3502.0427973324845,778.4239338589432,ok,154.00001215934753,31,18
227,True,-3398.203584215904,-3501.3979780128248,206.3887875938417,ok,184.797443151474,31,19
228,True,-3155.23029820208,-3277.715299030641,244.97000165712143,ok,107.12597393989564,31,20
229,True,-3647.224443233315,-3669.4317674456897,44.41464842474852,ok,229.76583194732663,31,17
230,True,-3205.065803953897,-3301.8520489201933,193.57248993259236,ok,141.19990420341492,31,21
231,True,-2915.837431313669,-3247.805919077304,663.9369755272701,ok,156.73101210594177,31,20
232,True,-3014.851624073801,-3250.4371736366625,471.1710991257232,ok,245.19631910324097,31,23
233,True,-3073.4088369223837,-3242.0630328832567,337.3083919217461,ok,147.62126207351685,31,22
234,True,-2951.698343962551,-3249.14672761874,594.896767312378,ok,165.10844683647156,31,23
235,True,-3636.920502878957,-3726.495390133038,179.14977450816423,ok,213.9423780441284,31,19
236,True,-3178.099646172245,-3270.420594373366,184.6418964022423,ok,131.3943190574646,31,21
237,True,-3063.4099791172184,-3318.298332490519,509.7767067466011,ok,110.59149479866028,31,21
238,True,-2929.0645687703022,-3210.4000857527044,562.6710339648043,ok,83.58263897895813,31,21
239,True,-3578.557343175295,-3629.328030439013,101.54137452743636,ok,172.83594799041748,31,21
240,False,-3137.843842837482,-3201.6877104183886,127.68773516181318,ok,123.10634016990662,31,20
241,True,-3496.075659556541,-3565.125269587006,138.09922006093166,ok,78.4953100681305,31,18
