province,provincechn,year,m,population_10k,income_support_flag,population_share_projected,population_share_source,population_scenario,population_projection_source,p_grain_model,p_oil_model,p_vegfruit_model,p_meatsea_model,p_dairyegg_model,p_nonfood_model,xhat_grain,daily_kcal_grain,annual_kcal_total_grain,xhat_oil,daily_kcal_oil,annual_kcal_total_oil,xhat_vegfruit,daily_kcal_vegfruit,annual_kcal_total_vegfruit,xhat_meatsea,daily_kcal_meatsea,annual_kcal_total_meatsea,xhat_dairyegg,daily_kcal_dairyegg,annual_kcal_total_dairyegg,xhat_nonfood,daily_kcal_nonfood,annual_kcal_total_nonfood,u
22,吉林,2050,60649.50433536879,2207.9286,extrapolation,0.01583011416392937,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",786.4871611297381,5357.820194209484,8398.210088148726,4083.467780115006,2711.588672281204,100.0,0.36706911433808553,734.138228676171,5916375488783.223,0.11630043026434257,232.60086052868513,1874516237062.517,0.05777471910215499,115.54943820430998,931205919037.0846,0.1842019332352734,368.4038664705468,2968944430927.79,0.03644634132280383,72.89268264560766,587437711415.4572,584.0147802134726,,,2.087315902561019
23,黑龙江,2030,27728.30347447312,3752.7091,in_support,0.025694679923568418,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",830.2448360426725,5599.879522240237,7606.344533731195,3730.0449297773566,2656.5753119227547,100.0,0.37071855105294693,741.4371021058938,10155751824549.021,0.1175169333528648,235.0338667057296,3219350115940.9414,0.05699503892831574,113.99007785663149,1561366349060.3567,0.1912521326319539,382.50426526390777,5239309415213.085,0.03575164254055706,71.50328508111411,979408254403.8378,255.20555761867962,,,1.1673725243089996
23,黑龙江,2035,34754.73684395659,3624.8458,in_support,0.02493731543060435,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",830.2448360426725,5599.879522240237,7606.344533731195,3730.0449297773566,2656.5753119227547,100.0,0.36692051497340533,733.8410299468106,9709221099736.854,0.11672092158336946,233.44184316673892,3088595999327.325,0.057505468079328714,115.01093615865743,1521673717444.038,0.1943676833255765,388.735366651153,5143236028076.656,0.03624604547476567,72.49209094953133,959120177652.4373,325.37782938520996,,,1.4430794067453125
23,黑龙江,2050,61803.88109192948,3063.7345,extrapolation,0.021965958003791003,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",830.2448360426725,5599.879522240237,7606.344533731195,3730.0449297773566,2656.5753119227547,100.0,0.3653613104349135,730.722620869827,8171401377735.978,0.11629615686331908,232.59231372663817,2600994000396.806,0.05777821041210443,115.55642082420886,1292224805091.112,0.19864120770118548,397.282415402371,4442662624437.251,0.03673777476856549,73.47554953713097,821649952485.2903,595.7127901328428,,,2.109802447479928
31,上海,2030,58292.05694866786,2451.5023,extrapolation,0.016785358324308112,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",936.2837472571957,4016.9332837624816,9226.254801502773,5764.41681593892,3381.76376987146,100.0,0.36210905736722887,724.2181147344577,6480291665002.132,0.11631505387367129,232.63010774734258,2081570341300.2825,0.05776803513161263,115.53607026322527,1033814838238.893,0.13985282070885421,279.7056414177084,2502801434893.4795,0.03363647076639046,67.27294153278092,601957163768.1295,560.3288715107137,,,2.0380012871735502
31,上海,2035,68205.08209921412,2383.8698,extrapolation,0.01639995641968872,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",936.2837472571957,4016.9332837624816,9226.254801502773,5764.41681593892,3381.76376987146,100.0,0.36205307630791433,724.1061526158287,6300537980634.987,0.11628967855399024,232.57935710798048,2023702005122.9246,0.05778437258226352,115.56874516452704,1005578071188.8839,0.14018841778417238,280.37683556834475,2439593828897.9414,0.03367932467082174,67.35864934164348,586096012260.3184,659.4383647005158,,,2.2147660939949905
31,上海,2050,102189.9985445422,2101.0641,extrapolation,0.015063931219847197,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",936.2837472571957,4016.9332837624816,9226.254801502773,5764.41681593892,3381.76376987146,100.0,0.362042652539772,724.085305079544,5552926185416.648,0.11626721224234196,232.5344244846839,1783279519241.0957,0.05779887474995234,115.59774949990468,886505727529.9058,0.1406453330790003,281.2906661580006,2157185479203.2588,0.0337342027424946,67.46840548498919,517407372967.95166,999.258996850816,,,2.6585695999425187
32,江苏,2030,40907.97847196125,8267.8258,in_support,0.05660954045034319,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",984.9943269160104,5131.658680508318,7955.947232912626,4374.909595282463,2882.1458417699737,100.0,0.3613605212036613,722.7210424073226,21809960634256.266,0.11649076191079633,232.98152382159265,7030814885550.495,0.057653599754813906,115.30719950962781,3479690412464.7856,0.17207637553508856,344.15275107017715,10385691729702.309,0.03536314044054994,70.72628088109988,2134346879794.836,386.40820266986356,,,1.63235761056746
32,江苏,2035,49466.13247914123,8116.0265,extrapolation,0.055834626916721204,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",984.9943269160104,5131.658680508318,7955.947232912626,4374.909595282463,2882.1458417699737,100.0,0.3608583247148859,721.7166494297718,21379770800760.82,0.11636116518001957,232.72233036003914,6894049191254.987,0.05773682848861525,115.4736569772305,3420733499288.761,0.17324733963954642,346.49467927909285,10264383996854.133,0.0355102323140842,71.0204646281684,2103874501320.525,471.93925015304865,,,1.8537116464624037
32,江苏,2050,80435.01787598775,7489.6985,extrapolation,0.053698648728229055,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",984.9943269160104,5131.658680508318,7955.947232912626,4374.909595282463,2882.1458417699737,100.0,0.3606491113060118,721.2982226120236,19718417688217.28,0.1162708574482575,232.541714896515,6357085766354.676,0.057794959394047205,115.58991878809441,3159927790972.441,0.1748591008070042,349.7182016140084,9560386198686.648,0.03568783072482384,71.37566144964768,1951224973410.1597,781.5545425429378,,,2.399776733171792
