scenario,base_ssp,diet_pathway,year,population_million,food_demand_mt,energy_kcal,protein_g,fat_g,kcal_per_capita_day,protein_g_per_capita_day,fat_g_per_capita_day
SSP2__CGS,SSP2,CGS,2035,8799.144375956763,2855.789189553177,6931906596743897.0,189535876576155.5,218117066325968.75,2158.337687295988,59.01441685627361,67.91353546438587
SSP2__CGS,SSP2,CGS,2036,8855.606330843266,2888.621615828392,7004496318911212.0,191513215723793.56,220198037026870.03,2167.034097585271,59.24989459858477,68.12433510319045
SSP2__CGS,SSP2,CGS,2037,8913.097851390046,2922.298339443917,7078961542040212.0,193545758217198.03,222340269726626.34,2175.9455025670054,59.49248624004473,68.34340137010442
SSP2__CGS,SSP2,CGS,2038,8971.638677272733,2956.8355664698015,7155336392853954.0,195634416711840.84,224544629340979.28,2185.0703149632495,59.74211875896061,68.57061317863526
SSP2__CGS,SSP2,CGS,2039,9031.248984246591,2992.2499985257655,7233656049869248.0,197780136624822.62,226812015135556.22,2194.406973790206,59.998720991791615,68.80585202304039
SSP2__CGS,SSP2,CGS,2040,9091.949394267884,3028.558845997802,7313956770900195.0,199983896962953.03,229143361564489.47,2203.9539442583136,60.26222362336997,69.04900197523423
SSP2__CGS,SSP2,CGS,2041,9142.021375037797,3062.0053646990195,7387455789329006.0,202019962823501.88,231318137236488.38,2213.909164283437,60.54233823086928,69.32255955190635
SSP2__CGS,SSP2,CGS,2042,9193.020462047289,3096.276507660102,7462777806087468.0,204110045332708.62,233553182802075.97,2224.0749573472763,60.82936570846284,69.6040802199866
SSP2__CGS,SSP2,CGS,2043,9244.963031960817,3131.3873165652903,7539954030339693.0,206254988309694.84,235849306202247.84,2234.450070907334,61.12324709131229,69.89346312278722
SSP2__CGS,SSP2,CGS,2044,9297.86580194625,3167.3532991234097,7619016650514084.0,208455666884714.78,238207349140155.47,2245.033286694366,61.423925477926346,70.19061021723738
SSP2__CGS,SSP2,CGS,2045,9351.745837019509,3204.190440865882,7699998858538975.0,210712988248529.47,240628187857772.97,2255.823420709206,61.731346026309346,70.49542627534551
SSP2__CGS,SSP2,CGS,2046,9394.430862409085,3238.1506346431856,7774136872412534.0,212799235681137.6,242890703701739.62,2267.1948350935536,62.05927885836294,70.83494386096794
SSP2__CGS,SSP2,CGS,2047,9437.950472105107,3272.9187287928917,7850051555249883.0,214938408687864.03,245212534814924.62,2278.7776462585502,62.39409226716829,71.18231504415381
SSP2__CGS,SSP2,CGS,2048,9482.317787481512,3308.5086688496026,7927771316218251.0,217131287458306.53,247594434422943.16,2290.5709238063146,62.73574171888178,71.53745860772376
SSP2__CGS,SSP2,CGS,2049,9527.546188175404,3344.934840546002,8007325481334467.0,219378682354587.3,250037189138604.2,2302.5737789946734,63.0841849550857,71.90029640060705
SSP2__CGS,SSP2,CGS,2050,9573.649317210557,3382.212080262594,8088744314416713.0,221681434576163.22,252541619652090.7,2314.78536479609,63.439381992742334,72.27075333938464
SSP2__MTS,SSP2,MTS,2023,7993.414718056831,2438.833109186321,6000311539079834.0,164374376261898.03,192312107293866.22,2056.594118527788,56.3389706109717,65.91456896968096
SSP2__MTS,SSP2,MTS,2024,8063.880833517145,2476.766235695419,6088846807501512.0,166821426649729.34,194882660284136.6,2068.702702799079,56.6780454666592,66.21192794040714
SSP2__MTS,SSP2,MTS,2025,8135.740129227402,2514.153135188039,6173657024223902.0,169182177529916.4,197351984460834.75,2078.990794301141,56.97242141317913,66.45865770016852
SSP2__MTS,SSP2,MTS,2026,8202.03695736916,2549.124139622036,6253188799196007.0,171347366499697.84,199618591603964.16,2088.7523668122426,57.23515294617449,66.67858896665902
SSP2__MTS,SSP2,MTS,2027,8269.56240594341,2584.784961813879,6334325618741685.0,173552486013579.8,201924709530027.9,2098.5773988721753,57.498358402757475,66.89814468011583
SSP2__MTS,SSP2,MTS,2028,8338.34282407324,2621.2366633923307,6417249113037097.0,175805081640802.72,204279341829588.84,2108.513021139042,57.76420663940991,67.11998312833948
SSP2__MTS,SSP2,MTS,2029,8408.40520824516,2658.5239812639393,6502036927575108.0,178108201438623.44,206685757762961.06,2118.5705684245195,58.0333205987524,67.3447979743223
SSP2__MTS,SSP2,MTS,2030,8479.777219277335,2696.6753493440265,6588743478909655.0,180463655059588.62,209145780024573.44,2128.753094594993,58.305891768242915,67.57278195363466
