T1,wave,total_豆类,ratio_豆类
42,2009,1900.0,0.78947371
42,2009,580.0,1.0
42,2009,870.0,1.0
42,2009,350.0,1.0
42,2009,774.0,0.76744187
42,2009,1270.0,0.78740156
42,2009,1180.0,0.27966103
42,2009,1700.0,0.31176472
42,2009,300.0,1.0
42,2009,250.0,1.0
42,2009,397.0,1.0
42,2009,450.0,1.0
42,2009,1100.0,0.81818181
42,2009,480.0,0.79166669
42,2009,400.0,0.0
42,2009,150.0,1.0
42,2009,400.0,0.625
42,2009,450.0,0.0
42,2009,787.0,1.0
42,2009,70.0,1.0
42,2009,100.0,1.0
42,2009,910.0,1.0
42,2009,30.0,0.0
42,2009,1100.0,0.65454543
42,2009,440.0,1.0
42,2009,635.0,0.79527557
42,2009,465.0,1.0
42,2009,150.0,1.0
42,2009,2340.0,0.40598291
42,2009,300.0,0.0
42,2009,145.0,1.0
42,2009,650.0,0.23076923
42,2009,450.0,1.0
42,2009,1040.0,1.0
42,2009,420.0,1.0
42,2009,420.0,1.0
42,2009,590.0,0.98305082
42,2009,300.0,0.66666669
42,2009,470.0,0.55319148
42,2009,200.0,1.0
42,2009,400.0,1.0
42,2009,400.0,1.0
42,2009,1390.0,0.68345326
42,2009,810.0,0.81481481
42,2009,700.0,1.0
42,2009,690.0,1.0
42,2009,820.0,1.0
42,2009,560.0,1.0
42,2009,350.0,1.0
42,2009,750.0,0.80000001
42,2009,550.0,1.0
42,2009,580.0,1.0
42,2009,795.0,1.0
42,2009,900.0,0.8888889
42,2009,250.0,1.0
42,2009,1450.0,0.44827586
42,2009,180.0,1.0
42,2009,580.0,1.0
42,2009,775.0,0.67741936
42,2009,988.0,1.0
42,2009,640.0,0.53125
42,2009,630.0,1.0
42,2009,500.0,0.2
42,2009,330.0,1.0
42,2009,300.0,1.0
42,2009,820.0,0.14634146
42,2009,970.0,0.85567009
42,2009,200.0,1.0
42,2009,430.0,0.6511628
42,2009,775.0,0.67741936
42,2009,900.0,0.0
42,2009,700.0,1.0
42,2009,710.0,0.87323946
42,2009,700.0,0.71428573
42,2009,1420.0,0.78873241
42,2009,1350.0,0.82222223
42,2009,540.0,1.0
42,2009,750.0,0.23333333
42,2009,430.0,1.0
42,2009,1100.0,0.5
42,2009,140.0,0.85714287
42,2009,100.0,1.0
42,2009,1960.0,0.21938775
42,2009,775.0,1.0
42,2009,350.0,1.0
42,2009,840.0,1.0
42,2009,525.0,0.95238096
42,2009,628.0,1.0
42,2009,866.0,1.0
42,2009,698.0,1.0
42,2009,1650.0,0.93939394
42,2009,300.0,1.0
42,2009,290.0,1.0
42,2009,650.0,1.0
42,2009,408.0,1.0
42,2009,265.0,1.0
42,2009,1353.0,1.0
42,2009,260.0,0.80769229
42,2009,1428.0,1.0
42,2009,300.0,1.0
42,2009,250.0,1.0
42,2009,300.0,1.0
42,2009,550.0,1.0
42,2009,100.0,1.0
42,2009,100.0,1.0
42,2009,640.0,0.375
42,2009,200.0,0.5
42,2009,1851.0,0.67585087
42,2009,450.0,1.0
42,2009,300.0,0.33333334
42,2009,150.0,1.0
42,2009,180.0,1.0
42,2009,330.0,1.0
42,2009,417.0,1.0
42,2009,900.0,0.72222221
42,2009,720.0,0.65277779
42,2009,1481.0,1.0
42,2009,1730.0,1.0
42,2009,680.0,0.14705883
43,2009,50.0,1.0
43,2009,440.0,1.0
43,2009,200.0,1.0
43,2009,730.0,1.0
43,2009,50.0,1.0
43,2009,270.0,1.0
