T1,wave,total_大米,ratio_大米
32,2009,400.0,1.0
32,2009,1804.5,1.0
32,2009,230.0,1.0
32,2009,850.0,0.7647059
32,2009,850.0,1.0
32,2009,1310.0,1.0
32,2009,3730.0,0.91957104
32,2009,3380.0,1.0
32,2009,3341.0,1.0
32,2009,1063.0,0.56444025
32,2009,1416.6,0.67937315
32,2009,1100.0,0.5
32,2009,1800.0,0.44444445
32,2009,1920.0,0.79166669
32,2009,1105.0,0.90950227
32,2009,600.0,1.0
32,2009,1500.0,1.0
32,2009,3410.0,0.95601171
32,2009,1240.0,0.87096775
32,2009,1486.0,1.0
32,2009,3504.0,0.94292235
32,2009,600.0,1.0
32,2009,1182.0,1.0
32,2009,4141.0,0.9456653
32,2009,2800.0,0.83928573
32,2009,2340.0,1.0
32,2009,3830.0,0.46736291
32,2009,500.0,1.0
32,2009,250.0,1.0
32,2009,4579.0,0.95632231
32,2009,4485.0,1.0
32,2009,1400.0,0.39285713
32,2009,850.0,1.0
32,2009,2313.7,0.95677918
32,2009,830.0,1.0
32,2009,900.0,1.0
32,2009,640.0,1.0
32,2009,3880.0,1.0
32,2009,1461.0,1.0
32,2009,2352.0,0.99914968
32,2009,1790.0,1.0
32,2009,3227.0,1.0
32,2009,559.0,0.99821109
32,2009,5000.0,0.83999997
32,2009,2450.0,1.0
32,2009,4505.5,0.6664077
32,2009,600.0,1.0
32,2009,2031.0,0.90152633
32,2009,1150.0,0.56521738
32,2009,1297.0,0.92289901
32,2009,5455.0,0.89000916
32,2009,1980.0,0.92424244
32,2009,800.0,1.0
32,2009,600.0,1.0
32,2009,700.0,1.0
32,2009,150.0,1.0
32,2009,2377.0,0.91586035
32,2009,3850.0,0.92207789
32,2009,4074.0,0.71281296
32,2009,960.0,1.0
32,2009,2539.8,0.8787306
32,2009,2550.0,1.0
32,2009,3103.0,0.8710925
32,2009,3911.0,0.34786499
32,2009,850.0,1.0
32,2009,850.0,0.23529412
32,2009,1490.0,1.0
32,2009,300.0,1.0
32,2009,1350.0,1.0
32,2009,1295.0,1.0
32,2009,900.0,1.0
32,2009,1030.0,0.77669901
37,2009,59.0,1.0
37,2009,2875.5,1.0
37,2009,180.5,1.0
37,2009,70.0,1.0
37,2009,151.5,1.0
37,2009,300.0,1.0
37,2009,150.0,1.0
37,2009,20.0,1.0
37,2009,552.0,0.99909419
37,2009,898.5,0.55481356
37,2009,291.0,1.0
37,2009,100.0,1.0
37,2009,359.0,1.0
37,2009,830.0,1.0
37,2009,42.0,1.0
37,2009,60.0,1.0
37,2009,2.0,1.0
37,2009,551.8,1.0
37,2009,155.0,1.0
37,2009,70.0,1.0
37,2009,485.0,1.0
37,2009,780.0,1.0
37,2009,300.0,1.0
37,2009,25.0,1.0
37,2009,700.0,1.0
37,2009,600.0,1.0
37,2009,500.0,1.0
37,2009,266.0,1.0
37,2009,52.0,1.0
37,2009,657.5,1.0
37,2009,730.0,1.0
37,2009,5.0,1.0
37,2009,100.0,1.0
37,2009,30.0,1.0
37,2009,261.3,1.0
37,2009,200.0,1.0
37,2009,73.5,0.95918369
37,2009,92.0,1.0
37,2009,80.0,1.0
37,2009,705.0,1.0
37,2009,650.0,0.53846157
37,2009,23.0,1.0
37,2009,66.0,1.0
37,2009,600.0,1.0
37,2009,1056.0,1.0
37,2009,361.2,1.0
37,2009,36.0,1.0
37,2009,905.1,1.0
37,2009,357.0,1.0
37,2009,224.0,1.0
37,2009,80.0,1.0
37,2009,910.0,0.99890107
37,2009,85.0,1.0
37,2009,775.0,1.0
37,2009,450.0,0.06666667
37,2009,520.0,1.0
37,2009,254.2,1.0
37,2009,555.0,1.0
37,2009,140.5,1.0
37,2009,309.0,1.0
37,2009,300.0,1.0
37,2009,3.5,1.0
37,2009,180.0,1.0
37,2009,122.0,1.0
37,2009,120.0,1.0
37,2009,16.5,1.0
37,2009,117.0,1.0
37,2009,2.0,1.0
37,2009,180.0,1.0
37,2009,30.0,1.0
37,2009,2.5,1.0
37,2009,250.0,1.0
37,2009,860.0,0.67441863
37,2009,73.8,1.0
37,2009,360.0,1.0
37,2009,861.0,1.0
37,2009,255.0,1.0
37,2009,70.0,1.0
37,2009,1275.0,1.0
37,2009,343.0,1.0
37,2009,40.0,1.0
37,2009,60.0,1.0
37,2009,63.0,1.0
37,2009,100.0,1.0
37,2009,1020.0,1.0
37,2009,101.0,1.0
37,2009,60.0,1.0
37,2009,132.0,1.0
37,2009,700.0,1.0
37,2009,200.0,1.0
37,2009,60.0,1.0
37,2009,300.0,1.0
37,2009,21.0,1.0
37,2009,78.0,1.0
37,2009,643.0,1.0
37,2009,140.0,1.0
37,2009,210.0,1.0
37,2009,300.0,0.66666669
37,2009,65.0,1.0
37,2009,766.0,1.0
37,2009,8.5,1.0
37,2009,100.5,1.0
37,2009,520.0,1.0
37,2009,1527.6,0.93453783
37,2009,30.0,1.0
37,2009,35.0,1.0
37,2009,784.0,0.87244898
37,2009,50.0,1.0
37,2009,220.0,1.0
37,2009,150.0,1.0
37,2009,300.0,1.0
37,2009,1.5,1.0
37,2009,121.5,1.0
37,2009,120.0,1.0
37,2009,1200.0,1.0
37,2009,178.6,0.99328107
37,2009,330.0,1.0
37,2009,589.5,1.0
37,2009,371.6,1.0
37,2009,1.5,1.0
37,2009,700.0,1.0
37,2009,1654.0,0.9987908
37,2009,1823.1,1.0
37,2009,20.0,1.0
37,2009,420.0,1.0
37,2009,881.0,1.0
37,2009,100.0,1.0
37,2009,512.6,0.99902457
37,2009,280.0,1.0
37,2009,718.5,0.86082113
37,2009,30.0,1.0
37,2009,825.0,1.0
37,2009,2.0,1.0
37,2009,303.0,1.0
37,2009,230.0,1.0
37,2009,450.0,1.0
37,2009,1375.0,0.78181821
37,2009,600.0,1.0
37,2009,27.0,0.96296299
37,2009,590.0,1.0
37,2009,36.0,1.0
37,2009,1067.0,1.0
37,2009,470.0,1.0
37,2009,151.2,1.0
37,2009,1250.0,1.0
37,2009,50.0,1.0
37,2009,379.0,1.0
37,2009,120.0,1.0
37,2009,950.0,0.21052632
37,2009,700.0,1.0
37,2009,1356.0,0.88938051
37,2009,370.9,1.0
37,2009,70.0,1.0
37,2009,460.0,1.0
37,2009,50.0,1.0
37,2009,20.0,1.0
37,2009,312.0,1.0
37,2009,935.0,1.0
37,2009,116.0,1.0
37,2009,9.0,1.0
37,2009,460.0,1.0
37,2009,150.0,1.0
37,2009,4.5,1.0
37,2009,400.0,1.0
37,2009,786.6999999999999,1.0
37,2009,1494.5,1.0
37,2009,1201.0,1.0
37,2009,360.0,1.0
37,2009,540.0,1.0
37,2009,60.0,1.0
37,2009,150.0,1.0
37,2009,911.5,1.0
37,2009,300.0,0.33333334
37,2009,870.0,1.0
37,2009,3.5,1.0
37,2009,350.0,1.0
37,2009,720.0,1.0
37,2009,1220.0,1.0
41,2009,10.0,1.0
41,2009,800.0,1.0
41,2009,200.0,0.5
41,2009,33.8,1.0
41,2009,355.0,1.0
41,2009,460.0,1.0
41,2009,910.0,0.56043959
41,2009,1060.0,1.0
41,2009,580.0,0.39655173
41,2009,1446.0,0.86168742
41,2009,19.0,1.0
41,2009,552.5,0.99728507
41,2009,740.0,1.0
