T1,wave,total_奶类,ratio_奶类
11,2011,731.0,1.0
11,2011,250.0,1.0
11,2011,483.0,1.0
11,2011,450.0,1.0
11,2011,400.0,1.0
11,2011,720.0,1.0
11,2011,750.0,1.0
11,2011,800.0,0.5
11,2011,300.0,1.0
11,2011,1110.0,1.0
11,2011,242.0,1.0
11,2011,400.0,1.0
11,2011,240.0,1.0
11,2011,500.0,1.0
11,2011,600.0,0.83333331
11,2011,600.0,1.0
11,2011,450.0,1.0
11,2011,250.0,1.0
11,2011,200.0,1.0
11,2011,150.0,0.0
11,2011,200.0,1.0
11,2011,360.0,1.0
11,2011,750.0,1.0
11,2011,1000.0,1.0
11,2011,250.0,1.0
11,2011,237.0,1.0
11,2011,560.0,1.0
11,2011,100.0,1.0
11,2011,750.0,1.0
11,2011,200.0,1.0
11,2011,750.0,1.0
11,2011,100.0,1.0
11,2011,600.0,1.0
11,2011,200.0,1.0
11,2011,775.0,1.0
11,2011,400.0,1.0
11,2011,293.0,1.0
11,2011,200.0,1.0
11,2011,200.0,1.0
11,2011,750.0,1.0
11,2011,1050.0,1.0
11,2011,250.0,1.0
11,2011,875.0,1.0
11,2011,600.0,1.0
11,2011,750.0,1.0
11,2011,750.0,1.0
11,2011,720.0,1.0
11,2011,750.0,1.0
11,2011,253.0,1.0
11,2011,500.0,1.0
11,2011,250.0,1.0
11,2011,125.0,1.0
11,2011,375.0,1.0
11,2011,450.0,1.0
11,2011,1200.0,1.0
