T1,wave,total_蛋类,ratio_蛋类
32,2006,250.0,1.0
32,2006,620.0,1.0
32,2006,100.0,1.0
32,2006,445.0,0.38202247
32,2006,250.0,1.0
32,2006,395.0,1.0
32,2006,380.0,1.0
32,2006,135.0,0.0
32,2006,510.0,1.0
32,2006,310.0,1.0
32,2006,230.0,1.0
32,2006,275.0,1.0
32,2006,535.0,1.0
32,2006,760.0,0.72368419
32,2006,610.0,1.0
32,2006,235.0,0.65957445
32,2006,55.0,1.0
32,2006,365.0,1.0
32,2006,640.0,1.0
32,2006,505.0,1.0
32,2006,860.0,1.0
32,2006,645.0,1.0
37,2006,230.0,1.0
37,2006,120.0,1.0
37,2006,75.0,1.0
37,2006,880.0,1.0
37,2006,170.0,1.0
37,2006,610.0,1.0
37,2006,246.0,1.0
37,2006,420.0,1.0
37,2006,270.0,1.0
37,2006,205.0,1.0
37,2006,830.0,1.0
37,2006,420.0,1.0
37,2006,220.0,1.0
37,2006,170.0,1.0
37,2006,730.0,1.0
37,2006,200.0,1.0
37,2006,1750.0,1.0
37,2006,60.0,1.0
37,2006,290.0,1.0
37,2006,415.0,1.0
37,2006,244.0,1.0
37,2006,475.0,1.0
37,2006,300.0,1.0
37,2006,200.0,1.0
37,2006,610.0,1.0
37,2006,610.0,1.0
37,2006,330.0,1.0
37,2006,235.0,1.0
37,2006,750.0,1.0
37,2006,400.0,0.85000002
37,2006,200.0,1.0
37,2006,460.0,1.0
37,2006,177.0,1.0
37,2006,1420.0,1.0
37,2006,495.0,1.0
37,2006,756.0,0.47089946
37,2006,310.0,1.0
37,2006,240.0,1.0
37,2006,440.0,1.0
37,2006,330.0,1.0
37,2006,750.0,1.0
37,2006,220.0,1.0
37,2006,940.0,1.0
37,2006,250.0,1.0
37,2006,720.0,1.0
37,2006,485.0,1.0
37,2006,351.0,1.0
37,2006,100.0,1.0
37,2006,475.0,1.0
37,2006,590.0,1.0
37,2006,980.0,1.0
37,2006,660.0,0.78787881
37,2006,590.0,1.0
37,2006,490.0,1.0
37,2006,60.0,1.0
37,2006,575.0,1.0
37,2006,661.0,0.54462934
37,2006,180.0,1.0
37,2006,225.0,1.0
37,2006,560.0,1.0
37,2006,280.0,1.0
37,2006,360.0,1.0
37,2006,250.0,1.0
37,2006,100.0,1.0
37,2006,669.0,1.0
37,2006,260.0,1.0
37,2006,200.0,1.0
37,2006,520.0,1.0
37,2006,560.0,1.0
37,2006,530.0,1.0
37,2006,600.0,1.0
37,2006,393.0,1.0
37,2006,805.0,1.0
37,2006,570.0,1.0
37,2006,380.0,1.0
37,2006,590.0,1.0
37,2006,570.0,1.0
37,2006,580.0,1.0
37,2006,610.0,1.0
37,2006,200.0,1.0
37,2006,390.0,1.0
37,2006,240.0,1.0
37,2006,430.0,0.81395346
37,2006,726.0,1.0
37,2006,385.0,1.0
37,2006,370.0,1.0
37,2006,185.0,1.0
37,2006,237.0,0.78902954
37,2006,510.0,1.0
37,2006,110.0,0.45454547
37,2006,380.0,1.0
37,2006,70.0,1.0
37,2006,650.0,1.0
37,2006,300.0,1.0
37,2006,840.0,1.0
37,2006,490.0,1.0
37,2006,30.0,1.0
37,2006,720.0,1.0
37,2006,333.0,1.0
37,2006,200.0,1.0
37,2006,320.0,0.84375
37,2006,80.0,1.0
37,2006,650.0,1.0
37,2006,685.0,1.0
37,2006,940.0,1.0
37,2006,110.0,1.0
37,2006,620.0,1.0
37,2006,110.0,1.0
37,2006,400.0,1.0
37,2006,220.0,1.0
37,2006,430.0,1.0
37,2006,200.0,1.0
37,2006,155.0,1.0
37,2006,210.0,1.0
37,2006,100.0,1.0
37,2006,530.0,1.0
37,2006,550.0,1.0
37,2006,330.0,1.0
37,2006,205.0,1.0
37,2006,1300.0,0.98461539
37,2006,90.0,1.0
37,2006,225.0,1.0
37,2006,140.0,1.0
37,2006,120.0,1.0
37,2006,715.0,1.0
37,2006,360.0,1.0
37,2006,380.0,1.0
37,2006,50.0,1.0
37,2006,240.0,1.0
37,2006,780.0,1.0
37,2006,110.0,1.0
37,2006,160.0,1.0
37,2006,360.0,1.0
37,2006,502.0,1.0
37,2006,430.0,1.0
37,2006,860.0,1.0
37,2006,240.0,0.79166669
37,2006,250.0,1.0
37,2006,300.0,1.0
37,2006,530.0,1.0
37,2006,570.0,1.0
37,2006,135.0,1.0
37,2006,885.0,1.0
37,2006,180.0,1.0
37,2006,30.0,1.0
41,2006,270.0,1.0
41,2006,320.0,1.0
41,2006,300.0,1.0
41,2006,160.0,1.0
41,2006,160.0,1.0
41,2006,495.0,1.0
41,2006,100.0,1.0
41,2006,180.0,1.0
41,2006,50.0,1.0
41,2006,385.0,1.0
41,2006,70.0,1.0
41,2006,130.0,1.0
41,2006,260.0,1.0
41,2006,410.0,0.29268292
41,2006,50.0,1.0
41,2006,605.0,1.0
41,2006,330.0,1.0
41,2006,10.0,0.0
41,2006,65.0,1.0
41,2006,240.0,1.0
41,2006,384.0,1.0
41,2006,165.0,1.0
41,2006,65.0,1.0
41,2006,200.0,1.0
41,2006,120.0,1.0
41,2006,125.0,0.75999999
41,2006,590.0,1.0
41,2006,315.0,1.0
41,2006,150.0,1.0
41,2006,150.0,1.0
41,2006,45.0,1.0
41,2006,50.0,1.0
41,2006,20.0,1.0
41,2006,230.0,1.0
41,2006,60.0,1.0
41,2006,842.0,1.0
41,2006,845.0,1.0
41,2006,3213.0,1.0
41,2006,150.0,1.0
41,2006,340.0,1.0
41,2006,250.0,1.0
41,2006,100.0,0.0
41,2006,240.0,1.0
41,2006,90.0,0.66666669
41,2006,110.0,1.0
41,2006,160.0,1.0
41,2006,805.0,1.0
41,2006,60.0,1.0
41,2006,130.0,1.0
41,2006,60.0,1.0
41,2006,260.0,1.0
41,2006,105.0,1.0
41,2006,630.0,1.0
41,2006,785.0,1.0
41,2006,520.0,1.0
41,2006,120.0,1.0
41,2006,580.0,0.62068963
41,2006,80.0,1.0
41,2006,305.0,1.0
41,2006,365.0,1.0
41,2006,60.0,1.0
41,2006,20.0,1.0
41,2006,710.0,0.91549295
41,2006,440.0,1.0
41,2006,494.0,1.0
41,2006,350.0,1.0
41,2006,130.0,1.0
41,2006,400.0,1.0
41,2006,275.0,1.0
41,2006,250.0,1.0
41,2006,150.0,1.0
41,2006,490.0,1.0
41,2006,200.0,0.44999999
41,2006,115.0,0.47826087
41,2006,185.0,1.0
41,2006,60.0,1.0
41,2006,550.0,0.90909094
41,2006,260.0,1.0
41,2006,60.0,1.0
41,2006,100.0,1.0
41,2006,410.0,1.0
41,2006,70.0,1.0
41,2006,165.0,1.0
41,2006,230.0,1.0
41,2006,120.0,1.0
41,2006,60.0,1.0
41,2006,220.0,0.77272725
41,2006,410.0,1.0
41,2006,650.0,1.0
41,2006,45.0,1.0
41,2006,240.0,1.0
41,2006,270.0,1.0
41,2006,55.0,0.0
41,2006,350.0,1.0
41,2006,285.0,1.0
41,2006,150.0,1.0
41,2006,512.0,1.0
41,2006,100.0,1.0
41,2006,170.0,1.0
41,2006,735.0,1.0
41,2006,150.0,1.0
41,2006,480.0,1.0
41,2006,360.0,1.0
41,2006,170.0,1.0
41,2006,370.0,1.0
41,2006,180.0,0.66666669
41,2006,180.0,1.0
41,2006,130.0,1.0
41,2006,450.0,0.93333334
41,2006,318.0,0.63522011
41,2006,140.0,1.0
41,2006,330.0,1.0
41,2006,120.0,1.0
41,2006,65.0,1.0
41,2006,790.0,1.0
41,2006,170.0,1.0
41,2006,298.0,1.0
41,2006,525.0,0.64761907
41,2006,270.0,1.0
41,2006,320.0,1.0
41,2006,100.0,1.0
41,2006,205.0,1.0
41,2006,110.0,1.0
41,2006,435.0,0.88505745
41,2006,440.0,1.0
41,2006,227.0,1.0
41,2006,125.0,0.80000001
41,2006,122.0,1.0
41,2006,200.0,1.0
42,2006,280.0,0.89285713
42,2006,451.0,1.0
42,2006,380.0,1.0
42,2006,50.0,1.0
42,2006,180.0,1.0
42,2006,100.0,1.0
42,2006,150.0,1.0
42,2006,125.0,1.0
42,2006,100.0,1.0
42,2006,260.0,0.0
42,2006,516.0,0.82558137
42,2006,170.0,1.0
42,2006,250.0,1.0
42,2006,240.0,1.0
42,2006,305.0,0.18032786
42,2006,492.0,1.0
42,2006,110.0,1.0
42,2006,50.0,0.60000002
42,2006,170.0,1.0
42,2006,100.0,1.0
42,2006,420.0,1.0
42,2006,390.0,1.0
42,2006,92.0,1.0
42,2006,100.0,1.0
42,2006,255.0,1.0
42,2006,280.0,1.0
42,2006,80.0,0.625
42,2006,160.0,0.125
42,2006,400.0,1.0
42,2006,50.0,0.0
42,2006,120.0,1.0
42,2006,530.0,0.50943398
42,2006,160.0,1.0
42,2006,105.0,1.0
42,2006,370.0,1.0
42,2006,150.0,1.0
42,2006,330.0,1.0
42,2006,300.0,1.0
42,2006,150.0,1.0
42,2006,230.0,0.78260869
42,2006,411.0,1.0
42,2006,20.0,1.0
42,2006,300.0,1.0
42,2006,560.0,1.0
42,2006,150.0,1.0
42,2006,150.0,1.0
42,2006,140.0,1.0
42,2006,150.0,1.0
42,2006,270.0,1.0
42,2006,170.0,1.0
42,2006,300.0,1.0
42,2006,350.0,1.0
42,2006,150.0,1.0
42,2006,230.0,1.0
42,2006,420.0,0.73809522
42,2006,340.0,1.0
42,2006,240.0,1.0
42,2006,170.0,1.0
42,2006,100.0,0.5
42,2006,260.0,0.80769229
42,2006,770.0,0.89610392
42,2006,260.0,0.76923078
42,2006,540.0,1.0
42,2006,120.0,1.0
42,2006,290.0,1.0
42,2006,70.0,0.0
42,2006,181.0,0.77900553
42,2006,225.0,0.77777779
42,2006,415.0,0.87951809
42,2006,200.0,1.0
42,2006,495.0,1.0
42,2006,550.0,0.54545456
42,2006,310.0,0.83870965
42,2006,1620.0,0.0
42,2006,50.0,1.0
42,2006,350.0,0.51428574
42,2006,50.0,1.0
42,2006,200.0,0.25
42,2006,260.0,1.0
42,2006,150.0,1.0
42,2006,50.0,1.0
42,2006,2000.0,1.0
42,2006,200.0,1.0
42,2006,20.0,0.0
42,2006,100.0,1.0
42,2006,60.0,0.0
42,2006,150.0,1.0
42,2006,660.0,1.0
42,2006,210.0,1.0
42,2006,90.0,0.33333334
42,2006,450.0,1.0
42,2006,500.0,1.0
42,2006,280.0,1.0
42,2006,180.0,1.0
42,2006,480.0,1.0
42,2006,460.0,1.0
42,2006,50.0,1.0
42,2006,310.0,1.0
42,2006,250.0,1.0
42,2006,140.0,1.0
42,2006,35.0,1.0
42,2006,315.0,1.0
42,2006,520.0,1.0
42,2006,210.0,1.0
42,2006,300.0,1.0
42,2006,250.0,1.0
42,2006,60.0,1.0
42,2006,210.0,1.0
42,2006,470.0,1.0
