food_group10,term,estimate
G09_乳制品,r_G03,-0.0559074137636199
G09_乳制品,r_G04,0.0801042349668312
G09_乳制品,r_G05,0.0421356980632329
G09_乳制品,r_G06,-0.0283321913245269
G09_乳制品,r_G07,-0.230370601397638
G09_乳制品,r_G08,0.151256949405835
G09_乳制品,r_G09,0.787960359994551
G09_乳制品,low_income,-0.127056848913586
G09_乳制品,elderly_household,-0.198501542738119
G09_乳制品,large_family,0.210002426569285
G09_乳制品,mean_y_easi_hh,-0.0810446262438966
G09_乳制品,z_cpi_yoy_prev_year_100,-0.00178294405553724
G09_乳制品,z_covid_log,-0.00821475554635193
G09_乳制品,z_holiday_days,0.0597704647017802
G09_乳制品,z_temp_avg_c_mean,-0.0968664920716158
G09_乳制品,z_precip_log,-0.0431450223687384
G09_乳制品,z_wholesale_agri_200_mean,-0.0099601255263136
G09_乳制品,factor(month)02,0.153652887172944
G09_乳制品,factor(month)03,0.320192276965435
G09_乳制品,factor(month)04,0.245853223305118
G09_乳制品,factor(month)05,0.323767794911462
G09_乳制品,factor(month)06,0.380686957679429
G09_乳制品,factor(month)07,0.446155099112145
G09_乳制品,factor(month)08,0.440370756173215
G09_乳制品,factor(month)09,0.345424538343299
G09_乳制品,factor(month)10,0.118930992947216
G09_乳制品,factor(month)11,0.160187578539088
G09_乳制品,factor(month)12,-0.0337695421414912
G09_乳制品,factor(year)2021,-0.0724334918965889
G09_乳制品,factor(year)2022,-0.123345195348947
G10_坚果,(Intercept),-1.36207645789566
G10_坚果,y_easi,0.242314032760333
G10_坚果,r_G01,0.139535911982492
G10_坚果,r_G02,-0.0295241632997541
G10_坚果,r_G03,-0.334045792966322
G10_坚果,r_G04,0.263547714629285
G10_坚果,r_G05,-0.0832038805676821
G10_坚果,r_G06,0.0311428577979302
G10_坚果,r_G07,0.0634722105665884
G10_坚果,r_G08,0.0409410556077339
G10_坚果,r_G09,-0.242132266402494
G10_坚果,low_income,-0.0820652792156066
G10_坚果,elderly_household,-0.0820874579930938
G10_坚果,large_family,0.0911321364234429
G10_坚果,mean_y_easi_hh,-0.0194154472796745
G10_坚果,z_cpi_yoy_prev_year_100,0.00170075063719859
G10_坚果,z_covid_log,-0.0105638649326796
G10_坚果,z_holiday_days,0.0985049330130628
G10_坚果,z_temp_avg_c_mean,-0.0443383087301995
G10_坚果,z_precip_log,0.0211755013219639
G10_坚果,z_wholesale_agri_200_mean,0.039445275991568
G10_坚果,factor(month)02,-0.0805355167689347
G10_坚果,factor(month)03,-0.202333190413934
G10_坚果,factor(month)04,-0.415301123923582
G10_坚果,factor(month)05,-0.489734579144178
G10_坚果,factor(month)06,-0.516534531877763
G10_坚果,factor(month)07,-0.388691759835035
G10_坚果,factor(month)08,-0.362170096628193
G10_坚果,factor(month)09,-0.383669274565565
G10_坚果,factor(month)10,-0.468011367965816
G10_坚果,factor(month)11,-0.20032179402395
G10_坚果,factor(month)12,-0.197107573010027
G10_坚果,factor(year)2021,-0.0738502605887857
G10_坚果,factor(year)2022,-0.137529754863543
