model,term,estimate
constrained_sy_quaids_fast,G09__y_easi,-0.110303908062109
constrained_sy_quaids_fast,G01__y_easi2,0.000236445569677685
constrained_sy_quaids_fast,G02__y_easi2,0.00308463808986824
constrained_sy_quaids_fast,G03__y_easi2,0.00103179739141751
constrained_sy_quaids_fast,G04__y_easi2,0.0109803380920298
constrained_sy_quaids_fast,G05__y_easi2,-0.00306824883882273
constrained_sy_quaids_fast,G06__y_easi2,0.0113115204417812
constrained_sy_quaids_fast,G07__y_easi2,0.948857066886868
constrained_sy_quaids_fast,G08__y_easi2,-0.234357922761575
constrained_sy_quaids_fast,G09__y_easi2,0.0166055869828551
constrained_sy_quaids_fast,G01__low_income,0.00772932903013413
constrained_sy_quaids_fast,G02__low_income,0.0242511516638428
constrained_sy_quaids_fast,G03__low_income,-0.0484490119510897
constrained_sy_quaids_fast,G04__low_income,0.006264313728157
constrained_sy_quaids_fast,G05__low_income,0.000189787508410695
constrained_sy_quaids_fast,G06__low_income,-0.00139939526277808
constrained_sy_quaids_fast,G07__low_income,-0.00859477449556015
constrained_sy_quaids_fast,G08__low_income,0.00450758563374404
constrained_sy_quaids_fast,G09__low_income,-0.00022006742941226
constrained_sy_quaids_fast,G01__elderly_household,0.812703820291299
constrained_sy_quaids_fast,G02__elderly_household,-0.203456071492457
constrained_sy_quaids_fast,G03__elderly_household,0.0156673468952319
constrained_sy_quaids_fast,G04__elderly_household,0.00422305718893256
constrained_sy_quaids_fast,G05__elderly_household,-0.00188859309487276
constrained_sy_quaids_fast,G06__elderly_household,-0.0395044126088797
constrained_sy_quaids_fast,G07__elderly_household,0.00229954893133274
constrained_sy_quaids_fast,G08__elderly_household,0.00181082376112073
constrained_sy_quaids_fast,G09__elderly_household,0.00183155598757809
constrained_sy_quaids_fast,G01__large_family,0.0109944297659398
constrained_sy_quaids_fast,G02__large_family,-0.00122925724536613
constrained_sy_quaids_fast,G03__large_family,-0.00118141908135925
constrained_sy_quaids_fast,G04__large_family,0.821693364942153
constrained_sy_quaids_fast,G05__large_family,-0.200044879470678
constrained_sy_quaids_fast,G06__large_family,0.0148285881498642
constrained_sy_quaids_fast,G07__large_family,0.0167256400933483
constrained_sy_quaids_fast,G08__large_family,0.0199184276835265
constrained_sy_quaids_fast,G09__large_family,-0.0210332100020381
constrained_sy_quaids_fast,G01__z_cpi_yoy_prev_year_100,0.00197394254319265
constrained_sy_quaids_fast,G02__z_cpi_yoy_prev_year_100,0.00202354252444629
constrained_sy_quaids_fast,G03__z_cpi_yoy_prev_year_100,-0.00436798013160277
constrained_sy_quaids_fast,G04__z_cpi_yoy_prev_year_100,-0.00802101007137022
constrained_sy_quaids_fast,G05__z_cpi_yoy_prev_year_100,-0.00101118927566854
constrained_sy_quaids_fast,G06__z_cpi_yoy_prev_year_100,-0.00598207350261717
constrained_sy_quaids_fast,G07__z_cpi_yoy_prev_year_100,0.746413398914019
constrained_sy_quaids_fast,G08__z_cpi_yoy_prev_year_100,-0.17372253678284
constrained_sy_quaids_fast,G09__z_cpi_yoy_prev_year_100,0.0114313575886529
constrained_sy_quaids_fast,G01__z_covid_log,0.00878164517824554
constrained_sy_quaids_fast,G02__z_covid_log,0.0181347324555318
constrained_sy_quaids_fast,G03__z_covid_log,-0.0348018462496551
constrained_sy_quaids_fast,G04__z_covid_log,0.00182373805571146
constrained_sy_quaids_fast,G05__z_covid_log,0.00401295527931705
constrained_sy_quaids_fast,G06__z_covid_log,0.000644674603669563
constrained_sy_quaids_fast,G07__z_covid_log,0.0041227661257834
constrained_sy_quaids_fast,G08__z_covid_log,0.00130094614218217
constrained_sy_quaids_fast,G09__z_covid_log,0.00179037468774268
constrained_sy_quaids_fast,G01__z_holiday_days,1.04447580319675
constrained_sy_quaids_fast,G02__z_holiday_days,-0.264225338906918
constrained_sy_quaids_fast,G03__z_holiday_days,0.020082208004992
constrained_sy_quaids_fast,G04__z_holiday_days,0.00269701990913688
constrained_sy_quaids_fast,G05__z_holiday_days,0.00815213739441066
constrained_sy_quaids_fast,G06__z_holiday_days,-0.0413102296123409
constrained_sy_quaids_fast,G07__z_holiday_days,0.00228505947794009
constrained_sy_quaids_fast,G08__z_holiday_days,0.00054172344575516
constrained_sy_quaids_fast,G09__z_holiday_days,-0.00230051395740817
constrained_sy_quaids_fast,G01__z_temp_avg_c_mean,-0.00894260392182944
constrained_sy_quaids_fast,G02__z_temp_avg_c_mean,-0.00485075255381475
constrained_sy_quaids_fast,G03__z_temp_avg_c_mean,0.00690959735471819
constrained_sy_quaids_fast,G04__z_temp_avg_c_mean,0.811922380698954
constrained_sy_quaids_fast,G05__z_temp_avg_c_mean,-0.177456869893898
constrained_sy_quaids_fast,G06__z_temp_avg_c_mean,0.0115839862668455
constrained_sy_quaids_fast,G07__z_temp_avg_c_mean,-0.00146890379094668
constrained_sy_quaids_fast,G08__z_temp_avg_c_mean,0.0126160509149022
constrained_sy_quaids_fast,G09__z_temp_avg_c_mean,-0.0469839542076775
constrained_sy_quaids_fast,G01__z_precip_log,-0.00107129243376317
constrained_sy_quaids_fast,G02__z_precip_log,0.00318464896765185
constrained_sy_quaids_fast,G03__z_precip_log,0.00381124232461561
constrained_sy_quaids_fast,G04__z_precip_log,0.00534630361109168
constrained_sy_quaids_fast,G05__z_precip_log,-0.00168343921633111
constrained_sy_quaids_fast,G06__z_precip_log,-0.00352767081375221
constrained_sy_quaids_fast,G07__z_precip_log,1.40165090941375
constrained_sy_quaids_fast,G08__z_precip_log,-0.299870903053701
constrained_sy_quaids_fast,G09__z_precip_log,0.0178858347045194
constrained_sy_quaids_fast,G01__z_wholesale_agri_200_mean,0.0144528213543245
constrained_sy_quaids_fast,G02__z_wholesale_agri_200_mean,0.0369979563246466
constrained_sy_quaids_fast,G03__z_wholesale_agri_200_mean,-0.0772246246917967
constrained_sy_quaids_fast,G04__z_wholesale_agri_200_mean,0.0041703821071173
constrained_sy_quaids_fast,G05__z_wholesale_agri_200_mean,-0.00021297380164732
constrained_sy_quaids_fast,G06__z_wholesale_agri_200_mean,0.00188895217245139
constrained_sy_quaids_fast,G07__z_wholesale_agri_200_mean,0.00514667973261377
constrained_sy_quaids_fast,G08__z_wholesale_agri_200_mean,-0.00190012835631112
constrained_sy_quaids_fast,G09__z_wholesale_agri_200_mean,0.00329400246153606
constrained_sy_quaids_fast,sym_price__p_1_1,0.19190057220996
constrained_sy_quaids_fast,sym_price__p_1_2,0.0588547317317487
constrained_sy_quaids_fast,sym_price__p_2_2,-0.022672226616955
constrained_sy_quaids_fast,sym_price__p_1_3,-0.00374138270183948
constrained_sy_quaids_fast,sym_price__p_2_3,-0.144471307253427
constrained_sy_quaids_fast,sym_price__p_3_3,0.0898899589767234
constrained_sy_quaids_fast,sym_price__p_1_4,0.00648865684897339
constrained_sy_quaids_fast,sym_price__p_2_4,0.133773208086485
constrained_sy_quaids_fast,sym_price__p_3_4,-0.0261081459101062
constrained_sy_quaids_fast,sym_price__p_4_4,0.128976095148731
constrained_sy_quaids_fast,sym_price__p_1_5,-0.000359843328849126
constrained_sy_quaids_fast,sym_price__p_2_5,-0.0260357946228828
constrained_sy_quaids_fast,sym_price__p_3_5,0.043397871390362
constrained_sy_quaids_fast,sym_price__p_4_5,-0.0572044601829977
constrained_sy_quaids_fast,sym_price__p_5_5,0.131654222756014
constrained_sy_quaids_fast,sym_price__p_1_6,-0.0280511168535848
constrained_sy_quaids_fast,sym_price__p_2_6,-0.0684700581281328
constrained_sy_quaids_fast,sym_price__p_3_6,-0.0924108190781439
constrained_sy_quaids_fast,sym_price__p_4_6,-0.173451431085047
constrained_sy_quaids_fast,sym_price__p_5_6,0.00460371701818618
constrained_sy_quaids_fast,sym_price__p_6_6,0.224251890514486
constrained_sy_quaids_fast,sym_price__p_1_7,-0.0674075775396437
constrained_sy_quaids_fast,sym_price__p_2_7,0.168681719329826
constrained_sy_quaids_fast,sym_price__p_3_7,-0.158466139090884
constrained_sy_quaids_fast,sym_price__p_4_7,0.0332180826205524
constrained_sy_quaids_fast,sym_price__p_5_7,-0.0956063226097495
constrained_sy_quaids_fast,sym_price__p_6_7,-0.0088927711253284
constrained_sy_quaids_fast,sym_price__p_7_7,0.420722054991587
constrained_sy_quaids_fast,sym_price__p_1_8,0.0402970082400624
constrained_sy_quaids_fast,sym_price__p_2_8,0.0142349728075081
constrained_sy_quaids_fast,sym_price__p_3_8,0.0111451786606025
constrained_sy_quaids_fast,sym_price__p_4_8,-0.0334179701433252
constrained_sy_quaids_fast,sym_price__p_5_8,-0.0491115891783797
constrained_sy_quaids_fast,sym_price__p_6_8,-0.0359917868639643
constrained_sy_quaids_fast,sym_price__p_7_8,-0.109577566004975
constrained_sy_quaids_fast,sym_price__p_8_8,-0.000171173561863102
constrained_sy_quaids_fast,sym_price__p_1_9,-0.0556658544236034
constrained_sy_quaids_fast,sym_price__p_2_9,-0.156609295420952
constrained_sy_quaids_fast,sym_price__p_3_9,0.0184760924518455
constrained_sy_quaids_fast,sym_price__p_4_9,-0.00683562771777536
constrained_sy_quaids_fast,sym_price__p_5_9,-0.0101561651590212
constrained_sy_quaids_fast,sym_price__p_6_9,-0.0574393491721892
constrained_sy_quaids_fast,sym_price__p_7_9,-0.0560226526460637
constrained_sy_quaids_fast,sym_price__p_8_9,0.109395244123725
constrained_sy_quaids_fast,sym_price__p_9_9,0.329462335422958
constrained_sy_quaids_fast,sym_y_price__p_1_1,-0.00345594730364256
constrained_sy_quaids_fast,sym_y_price__p_1_2,-0.00328729616774314
constrained_sy_quaids_fast,sym_y_price__p_2_2,0.00712210367245898
constrained_sy_quaids_fast,sym_y_price__p_1_3,0.000242663475807319
constrained_sy_quaids_fast,sym_y_price__p_2_3,0.00262747260719367
constrained_sy_quaids_fast,sym_y_price__p_3_3,-0.00289715776303598
constrained_sy_quaids_fast,sym_y_price__p_1_4,-3.28619593387933e-05
constrained_sy_quaids_fast,sym_y_price__p_2_4,-0.00437211391220331
constrained_sy_quaids_fast,sym_y_price__p_3_4,0.000389916263662302
constrained_sy_quaids_fast,sym_y_price__p_4_4,-0.00424526731437451
constrained_sy_quaids_fast,sym_y_price__p_1_5,-0.000462698091158762
constrained_sy_quaids_fast,sym_y_price__p_2_5,-0.000270180894432002
constrained_sy_quaids_fast,sym_y_price__p_3_5,-0.000779683787521327
constrained_sy_quaids_fast,sym_y_price__p_4_5,0.00137161316325893
constrained_sy_quaids_fast,sym_y_price__p_5_5,-0.00232616035120372
constrained_sy_quaids_fast,sym_y_price__p_1_6,0.000949383867064739
constrained_sy_quaids_fast,sym_y_price__p_2_6,9.71557821943141e-05
constrained_sy_quaids_fast,sym_y_price__p_3_6,0.00351509583553862
constrained_sy_quaids_fast,sym_y_price__p_4_6,0.00328728752483692
constrained_sy_quaids_fast,sym_y_price__p_5_6,-0.000260468275938672
constrained_sy_quaids_fast,sym_y_price__p_6_6,-0.000891431348032172
constrained_sy_quaids_fast,sym_y_price__p_1_7,0.00346646559464001
constrained_sy_quaids_fast,sym_y_price__p_2_7,-0.00124836315452048
constrained_sy_quaids_fast,sym_y_price__p_3_7,0.00239463682267265
constrained_sy_quaids_fast,sym_y_price__p_4_7,-0.000323637520729589
constrained_sy_quaids_fast,sym_y_price__p_5_7,0.00206140187559629
constrained_sy_quaids_fast,sym_y_price__p_6_7,-0.00112281044846494
constrained_sy_quaids_fast,sym_y_price__p_7_7,-0.0126566817851121
constrained_sy_quaids_fast,sym_y_price__p_1_8,-0.00201558165336565
constrained_sy_quaids_fast,sym_y_price__p_2_8,-0.000267995565693124
constrained_sy_quaids_fast,sym_y_price__p_3_8,0.000172852568261364
constrained_sy_quaids_fast,sym_y_price__p_4_8,0.00118849796346678
constrained_sy_quaids_fast,sym_y_price__p_5_8,0.00164578318361901
constrained_sy_quaids_fast,sym_y_price__p_6_8,-0.00104445375241342
constrained_sy_quaids_fast,sym_y_price__p_7_8,0.00289119424156167
constrained_sy_quaids_fast,sym_y_price__p_8_8,0.00244276029083993
constrained_sy_quaids_fast,sym_y_price__p_1_9,-0.0014899278107463
constrained_sy_quaids_fast,sym_y_price__p_2_9,0.00484520794941456
constrained_sy_quaids_fast,sym_y_price__p_3_9,-0.000127126651327487
constrained_sy_quaids_fast,sym_y_price__p_4_9,-0.00129927000005665
constrained_sy_quaids_fast,sym_y_price__p_5_9,-0.000475343078035437
constrained_sy_quaids_fast,sym_y_price__p_6_9,0.00186198206980543
constrained_sy_quaids_fast,sym_y_price__p_7_9,0.00131068488737895
constrained_sy_quaids_fast,sym_y_price__p_8_9,-0.00293043011964414
constrained_sy_quaids_fast,sym_y_price__p_9_9,-0.00303884723842409
constrained_sy_quaids_fast,sigma__G01,-0.148138902997775
constrained_sy_quaids_fast,sigma__G02,-0.238448676165787
constrained_sy_quaids_fast,sigma__G03,-0.214430959905574
constrained_sy_quaids_fast,sigma__G04,0.0211675578553283
constrained_sy_quaids_fast,sigma__G05,-0.00732558712333219
constrained_sy_quaids_fast,sigma__G06,-0.0382059301237921
