diet_pathway,source_scenario,year,world_commodity,source_commodities,baseline_kg_per_capita,pathway_kg_per_capita,preference_multiplier_vs_baseline,mapping_note
PTS,A1,2043,NBO,SOYO+RAPO+GRDO,23.719284421871556,24.637026572182425,1.0386918143898396,total vegetable-oil multiplier
PTS,A1,2044,NBO,SOYO+RAPO+GRDO,23.802502427271257,24.77291136206133,1.0407691980183664,total vegetable-oil multiplier
PTS,A1,2045,NBO,SOYO+RAPO+GRDO,23.882709366237627,24.906101050158103,1.0428507364146555,total vegetable-oil multiplier
PTS,A1,2046,NBO,SOYO+RAPO+GRDO,23.96279599320222,25.039598686961178,1.044936437887483,total vegetable-oil multiplier
PTS,A1,2047,NBO,SOYO+RAPO+GRDO,24.040772368854682,25.171321201261396,1.0470263107632667,total vegetable-oil multiplier
PTS,A1,2048,NBO,SOYO+RAPO+GRDO,24.11574669338684,25.3003209342616,1.049120363384792,total vegetable-oil multiplier
PTS,A1,2049,NBO,SOYO+RAPO+GRDO,24.187695300522627,25.426555290495028,1.0512186041117209,total vegetable-oil multiplier
PTS,A1,2050,NBO,SOYO+RAPO+GRDO,24.256595962325573,25.54998291790921,1.0533210413197498,total vegetable-oil multiplier
PTS,A1,2023,NDM,MILK,37.05427511403377,37.05427511403377,1.0,common dairy-food multiplier
PTS,A1,2024,NDM,MILK,35.49446339894381,35.49446339894381,1.0,common dairy-food multiplier
PTS,A1,2025,NDM,MILK,35.924228811772124,36.19366052786042,1.0075000000000003,common dairy-food multiplier
PTS,A1,2026,NDM,MILK,36.34660570111934,36.89384928320696,1.015056250000004,common dairy-food multiplier
PTS,A1,2027,NDM,MILK,36.78983409802401,37.62382917044486,1.022669171875,common dairy-food multiplier
PTS,A1,2028,NDM,MILK,37.2307397738459,38.36029028640905,1.0303391906640718,common dairy-food multiplier
PTS,A1,2029,NDM,MILK,37.67563260849735,39.109820915667726,1.038066734594044,common dairy-food multiplier
PTS,A1,2030,NDM,MILK,38.12050271847346,39.86841297138425,1.0458522351034931,common dairy-food multiplier
PTS,A1,2031,NDM,MILK,38.56987453831741,40.64092741472742,1.0536961268658658,common dairy-food multiplier
PTS,A1,2032,NDM,MILK,39.04444247821292,41.44953514857768,1.0615988478182732,common dairy-food multiplier
PTS,A1,2033,NDM,MILK,39.52715655677596,42.27669873714187,1.0695608391768967,common dairy-food multiplier
PTS,A1,2034,NDM,MILK,40.01881518358706,43.12357673225253,1.0775825454707322,common dairy-food multiplier
PTS,A1,2035,NDM,MILK,40.52128733750941,43.99251969456101,1.0856644145616365,common dairy-food multiplier
PTS,A1,2036,NDM,MILK,41.00623388512871,44.85290147106096,1.093806897670924,common dairy-food multiplier
PTS,A1,2037,NDM,MILK,41.5007538537791,45.73426440498764,1.1020104494035121,common dairy-food multiplier
PTS,A1,2038,NDM,MILK,41.98687376587926,46.6169984299937,1.1102755277740426,common dairy-food multiplier
PTS,A1,2039,NDM,MILK,42.46417372636009,47.50053489223948,1.1186025942323474,common dairy-food multiplier
PTS,A1,2040,NDM,MILK,42.93223919771442,48.38429499883781,1.1269921136890908,common dairy-food multiplier
PTS,A1,2041,NDM,MILK,43.3983424718728,49.2764116358268,1.1354445545417702,common dairy-food multiplier
PTS,A1,2042,NDM,MILK,43.87084102525766,50.186504351873,1.1439603887005318,common dairy-food multiplier
PTS,A1,2043,NDM,MILK,44.33412295177504,51.09685412855732,1.152540091616079,common dairy-food multiplier
PTS,A1,2044,NDM,MILK,44.78779877397847,52.00688170500855,1.1611841423031564,common dairy-food multiplier
PTS,A1,2045,NDM,MILK,45.2314853340205,52.91599912895446,1.1698930233704732,common dairy-food multiplier
PTS,A1,2046,NDM,MILK,45.6674991558636,53.82678432215095,1.1786672210457514,common dairy-food multiplier
PTS,A1,2047,NDM,MILK,46.09741523034646,54.74101364924672,1.187507225203596,common dairy-food multiplier
PTS,A1,2048,NDM,MILK,46.51655964298147,55.65304129766191,1.196413529392623,common dairy-food multiplier
PTS,A1,2049,NDM,MILK,46.92457721772912,56.56225803715373,1.2053866308630967,common dairy-food multiplier
PTS,A1,2050,NDM,MILK,47.3211213233869,57.46804885316443,1.214427030594534,common dairy-food multiplier
PTS,A1,2023,OCG,SORG+BARL+OTGR,2.6610476897612845,2.6610476897612845,1.0,other grains aggregate
PTS,A1,2024,OCG,SORG+BARL+OTGR,2.2641253107558725,2.2641253107558725,1.0,other grains aggregate
PTS,A1,2025,OCG,SORG+BARL+OTGR,2.257090831421995,2.257090831422029,1.0000000000000149,other grains aggregate
PTS,A1,2026,OCG,SORG+BARL+OTGR,2.2524864765450596,2.252486476545074,1.0000000000000062,other grains aggregate
PTS,A1,2027,OCG,SORG+BARL+OTGR,2.2480763552098324,2.2480763552098324,1.0,other grains aggregate
PTS,A1,2028,OCG,SORG+BARL+OTGR,2.243624715676761,2.243624715676879,1.0000000000000526,other grains aggregate
PTS,A1,2029,OCG,SORG+BARL+OTGR,2.2391990039602145,2.2391990039602767,1.0000000000000278,other grains aggregate
PTS,A1,2030,OCG,SORG+BARL+OTGR,2.234761715731123,2.2347617157311666,1.0000000000000195,other grains aggregate
PTS,A1,2031,OCG,SORG+BARL+OTGR,2.2322773458672076,2.232277345867181,0.999999999999988,other grains aggregate
PTS,A1,2032,OCG,SORG+BARL+OTGR,2.2300409668802113,2.230040966880245,1.000000000000015,other grains aggregate
PTS,A1,2033,OCG,SORG+BARL+OTGR,2.2278854416684055,2.2278854416684046,0.9999999999999996,other grains aggregate
PTS,A1,2034,OCG,SORG+BARL+OTGR,2.2258216273273335,2.2258216273273765,1.0000000000000193,other grains aggregate
PTS,A1,2035,OCG,SORG+BARL+OTGR,2.2238711006740144,2.223871100674031,1.0000000000000073,other grains aggregate
PTS,A1,2036,OCG,SORG+BARL+OTGR,2.2235528108534792,2.223552810853487,1.0000000000000036,other grains aggregate
PTS,A1,2037,OCG,SORG+BARL+OTGR,2.2232717843301315,2.223271784330139,1.0000000000000033,other grains aggregate
PTS,A1,2038,OCG,SORG+BARL+OTGR,2.2228594401069044,2.2228594401069044,1.0,other grains aggregate
PTS,A1,2039,OCG,SORG+BARL+OTGR,2.222315561325345,2.2223155613253445,0.9999999999999998,other grains aggregate
