编号,来源,标题,作者_年份,期刊级别,数据层级/区域,调研/数据年份,作物分类,样本量 (N),自由度 (DF),因变量定义 (Y) 及形式,自变量定义 (X) 及形式,样本均值 (Yˉ / Xˉ),模型设定,控内生性,核心回归系数 β,标准误 SE 或 t 值,[轨道一] PCC,[轨道一] SEPCC​,[轨道二] CASM 对接弹性 (Emeta​),CASM 软链接目标,检查结果,beta,se_raw,t_raw,p_raw,N,DF_report,DF_used,t_stat,PCC_report,SE_PCC_report,PCC_recalc,SE_PCC_recalc,PCC,SE_PCC,PCC_source,elast_type,elasticity,Target,Path,Mech,Micro,Endog,PubYear,DataYear_mid,LogN
E_01,英文check版,"Access to Credit and Mechanisation Service Expenditure: An Analysis Considering Access, Sources, Purposes and Amounts of Credit",Sang_2026,外文顶刊,微观 / 10省,2019,cgrn,1819,,农机服务支出 (Log)，100元/亩,信贷获取 (虚拟),"Yˉ=1.17,Xˉ=0.46",CMP 模型,1 (选择偏差),1.155,SE = 0.240,0.057,0.028,半弹性 = 0.473,探讨资本/服务支出机制,,1.155,0.24,,,1819,,1819.0,4.8125,0.057,0.028,0.11212618609064233,0.023298947759094513,0.11212618609064233,0.023298947759094513,recalc,semi,0.473,Yield,OTH,0,1,1,2026.0,2019.0,7.506042178518122
E_02,英文check版,"Can mechanized pesticide application help reduce pesticide use and increase crop yield? Evidence from rice farmers in Jiangsu province, China",Li_2023,外文顶刊,微观 / 江苏,2019,rice,847,,水稻单产，100kg/mu (Level),农机施药服务 (虚拟),"Yˉ=5.67,Xˉ=0.12（外包），Xˉ=0.30（自有）",两阶段控制函数法(CFA),1 (内生性),0.401（外包），0.373（自有）,SE = 0.239（外包），SE = 0.173（自有）,0.095,0.03,半弹性 = 0.147,YieldInt2 / 环境可持续,,0.401,0.239,,,847,,847.0,1.6778242677824269,0.095,0.03,0.05755515811269879,0.03430344835145888,0.05755515811269879,0.03430344835145888,recalc,semi,0.147,Yield,AMS,1,1,1,2023.0,2019.0,6.741700694652054
E_03,英文check版,Capital constraints or biased norms? Tracing the root of gendered agricultural productivity in rural China,Wu_2025,外文顶刊,微观 / 全国,2015、2017、2019,cgrn,21432,,土地生产率，每公顷作物产出，yuan/ha (Log),是否女性户主,"Yˉ= 9622（女性户主）,Yˉ= 9730（男性户主）",固定效应模型+SEM+Heckman两阶段回归+DFL半参数分解,1 (系统内生),-0.093,SE = 0.022,0.12,0.009,弹性 = 0.219,讨论 Efficiency (性别机制),,-0.093,0.022,,,21432,,21432.0,-4.2272727272727275,0.12,0.009,-0.028863429851688455,0.006827908136958559,-0.028863429851688455,0.006827908136958559,recalc,full,0.219,Efficiency,OTH,0,1,1,2025.0,2017.0,9.972640411224445
E_04,英文check版,Outsourcing Fertilizer Mechanization Services to Different Types of Service Providers: Assessing the Impact on Fertilizer Application for Wheat Producers in China,Ding_2025,外文顶刊,微观 / 鲁冀豫晋,2022,whea,993,,单产 (Level)，kg/mu,化肥机械服务 FMS(虚拟),"Yˉ=508.81,Xˉ_不外包=0.47,Xˉ_外包给个人=0.29,Xˉ_外包给组织=0.08,Xˉ_外包服务+肥料给个人=0.09,Xˉ_外包服务+肥料给组织=0.07",多元内生(METE),1 (选择偏差),外包给个人: -0.006；外包给组织: 0.062；外包服务+肥料给个人: -0.012；外包服务+肥料给组织: 0.053,外包给个人SE = 0.024；外包给组织: SE = 0.030；外包服务+肥料给个人: SE = 0.023；外包服务+肥料给组织: SE = 0.023,0.124,0.03,半弹性 = 0.227,YieldInt2 / 绿色化机制,,-0.006,0.024,,,993,,993.0,-0.25,0.124,0.03,-0.007933260541594447,0.03173304216637779,-0.007933260541594447,0.03173304216637779,recalc,semi,0.227,Yield,AMS,1,1,1,2025.0,2022.0,6.900730664045172
E_05,英文check版,Adoption patterns and productivity impacts of agricultural mechanization services,Lu_2022,外文顶刊,微观 / 12县,2018,rice,404,,水稻单产 (Level)，kg/mu,农机服务采纳 (虚拟),Yˉ=539.21；Xˉ_耕地​=0.48，Xˉ_插秧​=0.09，Xˉ_喷洒农药​=0.09，Xˉ_收割​=0.81,MVP+Garden Variety 3SLS,1 (内生),耕地：48.0；插秧：23.7；喷洒农药：-21.3 kg/mu；收割：7.9,耕地：SE=11.443；插秧：SE=2.927；喷洒农药：SE=4.630；收割：SE=4.667,0.092,0.031,半弹性 = 0.078,YieldInt2 (分环节),,48.0,11.443,,,404,,404.0,4.194704185965219,0.092,0.031,0.2042929284239204,0.04870258291572752,0.2042929284239204,0.04870258291572752,recalc,semi,0.078,Yield,AMS,1,1,1,2022.0,2018.0,6.00141487796115
E_06,英文check版,Agricultural production trusteeship and farmers' high-quality rice cultivation: Evidence from rural China,Shi_2026,外文顶刊,微观 / 江西,2023,rice,1688,,优质水稻种植规模，亩,农业生产托管 (虚拟),"Yˉ=12.022,Xˉ=0.468",OLS+2SLS,1 (内生性),0.615,SE = 0.230,0.059,0.03,机制探讨 (离散模型),种植结构调整机制,,0.615,0.23,,,1688,,1688.0,2.6739130434782608,0.059,0.03,0.06494462851741294,0.024288235055292644,0.06494462851741294,0.024288235055292644,recalc,none,,Yield,AMS,1,1,1,2026.0,2023.0,7.431299675155902
E_07,英文check版,Basic Farmland Construction in China: A cost-effective investment for agricultural productivity and disaster resistance,Huang_2024,外文顶刊,宏观 / 220县,2000-2019,cgrn,4400,,农业人均GDP，元(Log)；农作物播种面积，公顷 (Log),高标准农田建设 (DID虚拟),"YˉGDP​=3822,Yˉarea​=95026",双重差分法 (DID),1 (政策冲击),0.063 (GDP),SE = 0.014,0.025,0.015,半弹性 = 0.063 (产出),YieldInt2 (+0.05面积),,0.063,0.014,,,4400,,4400.0,4.5,0.025,0.015,0.06768448010278785,0.0150409955783973,0.06768448010278785,0.0150409955783973,recalc,semi,0.063,Area,OTH,0,0,1,2024.0,2009.5,8.389359819906351
E_08,英文check版,"Farm machinery use, off-farm employment and farm performance in China",Ma_2018,外文顶刊,微观 / 调研,2017,maiz,493,,"玉米单产 (Level),100kg/mu",农机使用强度 (计数),"Yˉ=4.83,Xˉ=5.70",Bi-Ordered Probit+OLS,1 (系统内生),0.743,SE = 0.377,0.141,0.044,弹性 = 0.171,YieldInt2,,0.743,0.377,,,493,,493.0,1.9708222811671088,0.141,0.044,0.0884137672536428,0.04486135969666668,0.0884137672536428,0.04486135969666668,recalc,full,0.171,Yield,MCI,1,1,1,2018.0,2017.0,6.20050917404269
E_09,英文check版,"Calamitous weather, yield risk and mitigation effect of harvest mechanisation: Evidence from China's winter wheat",Wang_2024,外文顶刊,宏观 / 县级面板,1998-2016,whea,15416,,产量下行风险(偏度) (Level),"收获机械使用强度 (连续),kW/ha","Yˉ= ,Xˉ=1.936",矩估计法(Moment)计算产量下行风险，固定效应模型+IV估计系数,1 (内生控制),0.2907 (交叉项),SE = 0.1121,0.024,0.009,机制探讨 (降风险),风险与生产韧性机制,,0.2907,0.1121,,,15416,,15416.0,2.593220338983051,0.024,0.009,0.02088136403432518,0.008052290706046964,0.02088136403432518,0.008052290706046964,recalc,none,,Yield,MCI,1,0,1,2024.0,2007.0,9.643161210094203
E_10,英文check版,Do Farm Subsidies Effectively Increase Grain Production? Evidence from Major Grain-Producing Regions of China,Yang_2023,外文期刊,微观 / 13主产省,2017,cgrn,3472,,粮食产量 (Log),农业补贴总额 (Log),"Yˉ=7.79,Xˉ=6.30",OLS,1 (内生性),0.527,t = 37.845,-0.024,0.017,不显著，机制探讨,YieldInt2 (资金效应异质),,0.527,,37.845,,3472,,3472.0,37.845,-0.024,0.017,0.5404088762879232,0.014279531676256393,0.5404088762879232,0.014279531676256393,recalc,none,,Yield,OTH,0,1,1,2023.0,2017.0,8.15248607578024
